,funds,link,location,title
43,"
$150 raised of $1,600                    ",https://www.gofundme.com/electing-republican-women-training,"Honolulu, HI",Electing Republican Women Training
44,"
$130 raised of $55,000                    ",https://www.gofundme.com/1o9w0onjs0,"Mcminnville, OR",Support For The Republican Walkout
45,"
$100 raised of $35,000                    ",https://www.gofundme.com/send-a-message-to-washington,"Melrose, MA",TO ALL REPUBLICANS IN OFFICE
46,"
$75 raised of $500                    ",https://www.gofundme.com/wu-college-gop-fundraiser,"Topeka, KS",WU College Republicans Fundraiser
47,"
$100 raised of $8.0M                    ",https://www.gofundme.com/any-republican-but-rob-portman,"Hamilton, OH",Any Republican but Rob Portman!
48,"
$50 raised of $1,000                    ",https://www.gofundme.com/7rv3k-help-me-go-to-washington-dc,"Coral Springs, Florida",Republican Leaders Washington DC trip.
49,"
$20 raised of $500                    ",https://www.gofundme.com/oregon-republicans-threatened-w-arrest,"Hillsboro, OR",Oregon Republicans threatened w/ arrest.
50,"
$10 raised of $2,000                    ",https://www.gofundme.com/democratic-women-running-in-a-republican-male-area,"Syracuse, NY",First Time Running For Office
51,"
$10 raised of $700                    ",https://www.gofundme.com/dominican-republican-mission-trip,"Bay City, MI",Dominican Republican Mission Trip
52,"
$5 raised of $500                    ",https://www.gofundme.com/madison-county-al-republican-party,"Huntsville, AL",Madison County (AL) Republican Party
53,"
$5 raised of $350,000                    ",https://www.gofundme.com/antirepublican-apparel,"Brooklyn, NY",anti-republican apparel
54,"
$0 raised of $250,000                    ",https://www.gofundme.com/republican-challenger-to-president-trump,"Dover, NH",Matthew Argall: A Presidential Bid
55,"
$0 raised of $29,000                    ",https://www.gofundme.com/help-move-2-republican-families-from-oregon,"Lebanon, OR",Get 11 Republican people out of oregon
56,"
$0 raised of $5,000                    ",https://www.gofundme.com/help-umass-boston-college-republicans-attend-cpac,"Boston, MA",Help UMass Boston College Republicans attend CPAC!
57,"
$0 raised of $1,000                    ",https://www.gofundme.com/wu-college-republicans-giving-tuesday,"Topeka, KS",WU College Republicans #Giving Tuesday
58,"
$0 raised of $20,000                    ",https://www.gofundme.com/democrat-parents-disowns-republican,"Hillside, NJ",Democrat Parents Disowns Republican
59,"
$0 raised of $100,000                    ",https://www.gofundme.com/w5x8ws,"San Diego, CA",i will never vote republican again
60,"
$0 raised of $100,000                    ",https://www.gofundme.com/suburban-housewives-for-republican-party-2020,"North East, MD",Suburban housewives For Republican Party 2020
61,"
$0 raised of $10,000                    ",https://www.gofundme.com/republican-support,"Plantation, FL",Republican Support
62,"
$0 raised of $10,000                    ",https://www.gofundme.com/republicans-without-souls,"Hermiston, OR",Republicans without Souls
63,"
$0 raised of $250,000                    ",https://www.gofundme.com/republicans-unite,"Glassport, PA",Republicans Unite
64,"
$0 raised of $1.0M                    ",https://www.gofundme.com/republicans-for-our-creative-youth,"Dahlonega, GA",Republicans For Creative Youth Against Bullying
65,"
$0 raised of $10.0M                    ",https://www.gofundme.com/gofundme-deletes-republican,"Harker Heights, TX",Gofundme Deletes Republican
66,"
$0 raised of $30,000                    ",https://www.gofundme.com/black-republican-trump-allied,"Anderson, SC",Black Republican /Trump allied
67,"
$0 raised of $10,000                    ",https://www.gofundme.com/being-mean-to-republicans,"Elgin, OK",Being Mean to Republicans
68,"
$0 raised of $5,000                    ",https://www.gofundme.com/1r9fd78sio,"Chicago, IL",Republican African American Shunned From Community
69,"
$0 raised of $3,000                    ",https://www.gofundme.com/diplomatic-mission-for-united-ireland,"Seneca, SC",Irish Republican POW Diplomatic mission
70,"
$0 raised of $75,000                    ",https://www.gofundme.com/bina-shah-replublican-for-assembly-nj-ld14,"Hightstown, NJ",Bina Shah Republican for Assembly - NJ LD14
71,"
$0 raised of $1,000                    ",https://www.gofundme.com/tpusaminnesota-state-university-event-funds,"Mankato, MN",MNSU College Republicans Event Funds
72,"
$0 raised of $200.0M                    ",https://www.gofundme.com/sue-the-national-republican-party-for-damages-due,"Valley Stream, NY",Sue The National Republican Party For Damages Due
73,"
$0 raised of $100,000                    ",https://www.gofundme.com/lets-flush-the-republicans,"Staten Island, NY",Let's FLUSH The Republicans
74,"
$0 raised of $3,000                    ",https://www.gofundme.com/smc-college-republicans,"Moraga, CA",SMC College Republicans
75,"
$0 raised of $1.0M                    ",https://www.gofundme.com/gofundmyvote-republican-swing,"Perrysburg, OH",GoFundMyVote - Republican Swing
76,"
$0 raised of $7,500                    ",https://www.gofundme.com/bob-jones-republican,"Palm Coast, FL",www.trumpandjones.com
77,"
$0 raised of $5,000                    ",https://www.gofundme.com/to-keep-republican-media-on-social-media,"Bryant, AR",Republican podcast and social media coverage
78,"
$0 raised of $800                    ",https://www.gofundme.com/help-trump-supporter-fix-laptop,"California City, CA",Help A Young Republican Fix His Laptop (MAGA)
79,"
$0 raised of $50,000                    ",https://www.gofundme.com/maga-keep-trump-in-the-whitehouse,"Bethany, OK",Mom kicked me out because I’m a black Republican
80,"
$0 raised of $250                    ",https://www.gofundme.com/1pxazlsgg0,"Branford, CT",Establish the Branford Young Republicans
81,"
$0 raised of $500,000                    ",https://www.gofundme.com/how-to-make-a-republican-a-democrat,"Lugoff, SC",How to make a Republican a Democrat
82,"
$0 raised of $200                    ",https://www.gofundme.com/teenage-republicans-club,"Damascus, OR",Teenage Republicans Club
83,"
$0 raised of $20,000                    ",https://www.gofundme.com/tuition-for-young-female-republican,"Georgetown, TX",Tuition for Young Female Latina Republican
84,"
$0 raised of $20,000                    ",https://www.gofundme.com/1pel6p9tqo,"Waukee, IA",Republican Party Business
85,"
$0 raised of $20,000                    ",https://www.gofundme.com/support-minneapolis-republicans,"Minneapolis, MN",Support Minneapolis  Republicans
86,"
$0 raised of $1,200                    ",https://www.gofundme.com/scholarship-for-log-cabin-republicans,"Clairton, PA",Scholarship for Log Cabin Republicans
87,"
$0 raised of $999                    ",https://www.gofundme.com/inform-swing-state-republicans-about-border-crisis,"Harleysville, PA",Moms' Moral Outrage Against Internment of Children
88,"
$0 raised of $10,000                    ",https://www.gofundme.com/young-black-republican-needs-money-for-college,"Trenton, NJ",Young Black Republican Needs Money For College!!!!
89,"
$0 raised of $1.8M                    ",https://www.gofundme.com/1oqjn6to80,"Long Beach, CA","""Black Ted Cruz"" Republican Presidential Candidate"
90,"
$0 raised of $2,000                    ",https://www.gofundme.com/make-me-vote-republican,"El Cajon, CA",Make Me Vote Republican!!!
91,"
$0 raised of $1,000                    ",https://www.gofundme.com/young-republicans-rally-nyc-union-square,"New York, NY",Young Republicans Rally NYC. Union Square
92,"
$0 raised of $5,000                    ",https://www.gofundme.com/republican-presidential-candidate,"Temecula, CA",USA Presidential Candidate
93,"
$0 raised of $10,000                    ",https://www.gofundme.com/1oi4td52o0,"Dallas, TX",Gun Training For Young Republicans
94,"
$0 raised of $1,200                    ",https://www.gofundme.com/5r3dut-abortion-needed,"Birmingham, AL",Young Republicans
95,"
$0 raised of $1.8M                    ",https://www.gofundme.com/kwame-for-usa,"Long Beach, CA",Republican Presidential Candidate Fundraising
96,"
$0 raised of $1,000                    ",https://www.gofundme.com/1ofksdcg2o,"Seattle, WA",Mexican Republican
97,"
$0 raised of $250,000                    ",https://www.gofundme.com/support-our-senate-republicans,"Portland, OR",Support our senate republicans
98,"
$0 raised of $500,000                    ",https://www.gofundme.com/republicans-legal-fee-fund,"Mannford, OK",Republicans legal fee fund
99,"
$0 raised of $50,000                    ",https://www.gofundme.com/need-help-from-fellow-republicans,"San Fernando, CA",Need Help From Fellow Republicans!
100,"
$0 raised of $65,000                    ",https://www.gofundme.com/help-a-republican-get-into-college,"Queens Village, NY",Help a republican get into college
101,"
£0 raised of £1,000                    ",https://www.gofundme.com/national-republican-front-party,"Cove, ENG",National Republican Front Organisation
102,"
$0 raised of $75,000                    ",https://www.gofundme.com/republican-awareness-for-our-youth,"Houston, TX",Republican awareness for our youth.
103,"
$0 raised of $250,000                    ",https://www.gofundme.com/take-back-the-house-for-republicans,"New Orleans, LA",Take Back The House for Republicans
104,"
$0 raised of $150,000                    ",https://www.gofundme.com/nmn67u-republican-or-democrat,"Fort Payne, AL",family home and car
105,"
$0 raised of $11,000                    ",https://www.gofundme.com/are-you-a-democrat-or-a-republican,"Philadelphia, PA",Are you a Democrat or a Republican
106,"
$0 raised of $12,000                    ",https://www.gofundme.com/national-teenage-republican-conference-leadership,"Winfield, KS",National Teenage Republican Conference Leadership
107,"
$0 raised of $3,000                    ",https://www.gofundme.com/valley-pride-dominican-republican-baseball,"Dinuba, CA",Valley Pride Jose Dominican Republican baseball
108,"
$0 raised of $50,000                    ",https://www.gofundme.com/RepublicansSavingAmerica,"Pittsburgh, PA",Black Republicans for President Trump
109,"
$0 raised of $200                    ",https://www.gofundme.com/1n1t0uuftc,"Augusta, GA",Emergency Contraceptive In Republicans Honor
110,"
$0 raised of $2,000                    ",https://www.gofundme.com/mp9ap-nursing-classes,"El Cajon, CA",Make Me Vote Republican!
111,"
$0 raised of $5,000                    ",https://www.gofundme.com/help-a-local-republican,"Corpus Christi, TX",Help a local republican
112,"
$0 raised of $100,000                    ",https://www.gofundme.com/VoteRepublican2020,"Valley Springs, CA",Vote Republican 2020!
113,"
$0 raised of $1                    ",https://www.gofundme.com/republicans-put-your-money-where-your-mouth-is,"Scarborough, ME",Republicans - Put Your Money Where Your Mouth Is!
114,"
$0 raised of $10,000                    ",https://www.gofundme.com/hispanics-republicans,"Brooklyn, NY",Hispanics Republicans
115,"
$0 raised of $5,000                    ",https://www.gofundme.com/the-republican-party-of-australia,"Hunters Hill, NSW",The Republican Party of Australia
116,"
$0 raised of $14,000                    ",https://www.gofundme.com/republican-collectible-trading-cards,"Silver Spring, MD",Republican collectible trading cards
117,"
$0 raised of $750,000                    ",https://www.gofundme.com/young-republicans-of-Washington,"Yakima, WA",Young Republicans of Washington
118,"
$0 raised of $100,000                    ",https://www.gofundme.com/identity-verified-republican-informative-website,"Escondido, CA",Identity verified Republican discourse website
119,"
$0 raised of $50,000                    ",https://www.gofundme.com/eqkyt-republican-or-democrat,"Grand Junction, CO",Marvel vs. DC
120,"
$0 raised of $10,000                    ",https://www.gofundme.com/african-american-republicans-of-illinois,"Chicago, IL",African American Republicans of Illinois
121,"
$0 raised of $8,000                    ",https://www.gofundme.com/illinois-republicans-seeking-asylum-down-south,"Kewanee, IL",Illinois Republicans seeking Asylum down South
122,"
$0 raised of $100,000                    ",https://www.gofundme.com/confuse-republicans-and-democrats,"Paducah, KY",Confuse Republicans and Democrats
123,"
$0 raised of $10,000                    ",https://www.gofundme.com/1lu8ntiaqo,"Washington, DC",Reform REPUBLICAN Newborn NeedS HELP
124,"
$0 raised of $2                    ",https://www.gofundme.com/i-was-ganged-up-by-2-racist-republicans,"Port Charlotte, FL",i was ganged up by 2 racist republicans :(
125,"
$0 raised of $110                    ",https://www.gofundme.com/young-republican-wants-to-help-fund-trumps-wall,"Brandenburg, KY",Young Republican wants to help fund Trumps Wall.
126,"
$0 raised of $20,000                    ",https://www.gofundme.com/young-republican-in-need-of-help,"Philadelphia, PA",Young Republican in Need of Help
127,"
$0 raised of $10,000                    ",https://www.gofundme.com/1lk0b58hc0,"Los Angeles, CA",Reformed Republican
128,"
$0 raised of $25,000                    ",https://www.gofundme.com/born-again-black-republican,"Grand Prairie, TX",Born Again Black Republican
129,"
$0 raised of $5,000                    ",https://www.gofundme.com/jup6z-reformed-republican,"Forney, TX",Reformed Republican
130,"
$0 raised of $10,000                    ",https://www.gofundme.com/reformed-republican,"Washington, DC",Reformed Republican
131,"
$0 raised of $10.0M                    ",https://www.gofundme.com/real-republican-running-for-real-president,"Montegut, LA",Real republican running for real President
132,"
$0 raised of $2,600                    ",https://www.gofundme.com/3fyh8e-dominican-republican-trip,"Killeen, TX",Dominican republican trip
133,"
$0 raised of $1,000                    ",https://www.gofundme.com/help-the-ucf-college-republicans-get-to-cpac,"Orlando, FL",Help the UCF College Republicans get to CPAC
134,"
$0 raised of $3.0M                    ",https://www.gofundme.com/make-me-a-republican,"Belding, MI",Make me a Millionaire
135,"
$0 raised of $30.0M                    ",https://www.gofundme.com/republican-pro-constitution-president-race,"Snowflake, AZ",Republican pro constitution president race
136,"
$0 raised of $725                    ",https://www.gofundme.com/6v17la8,"Baton Rouge, LA",Citizenship To Vote Republican
137,"
$0 raised of $500                    ",https://www.gofundme.com/6td8yig,"Fontana, CA",My Family Kicked Me Out Because I Am Republican
138,"
$0 raised of $10,000                    ",https://www.gofundme.com/fight-for-life-march,"Mcallen, TX",Fight for Life March
139,"
$0 raised of $565                    ",https://www.gofundme.com/Republicannotes,"Lithonia, GA",Republican Notes
140,"
$0 raised of $100,000                    ",https://www.gofundme.com/wheres-our-republican-sotos,"Haskell, NJ",Trip to our capital to protest Nancy and chuck
141,"
$0 raised of $30,000                    ",https://www.gofundme.com/help-2-young-republican-women-live-their-dream,"Silver Spring, MD",Help 2 Young Republican Women Live Their Dream
142,"
$0 raised of $10,000                    ",https://www.gofundme.com/fund-for-minority-republican-organization,"Torrington, WY",Fund For Minorities for President Trump
143,"
$0 raised of $100,000                    ",https://www.gofundme.com/donate-if-you-think-republicans-are-stupid,"Walford, IA",Donate if you think Republicans are stupid.
144,"
$0 raised of $25,000                    ",https://www.gofundme.com/onboardwithcom-a-voice-4-conservative-republicans,"Huntington Beach, CA",OnBoardWith.com A Voice 4 Conservative Republicans
145,"
$0 raised of $6,000                    ",https://www.gofundme.com/9gmbb-please-help-me-get-on-my-feet,"Waldorf, MD",Please help a fellow republican
146,"
$0 raised of $10,000                    ",https://www.gofundme.com/republican-student-in-need-of-a-confidence-boost,"Valparaiso, IN",Republican student in need of  a Confidence boost
147,"
$0 raised of $10.0M                    ",https://www.gofundme.com/republican-reset,"Reno, NV",Republican Reset
148,"
$0 raised of $2,500                    ",https://www.gofundme.com/donate-if-you-are-a-true-republican,"Rancho Cucamonga, CA",DONATE IF YOU ARE A TRUE REPUBLICAN
149,"
$0 raised of $10.0M                    ",https://www.gofundme.com/6p6x6i0,"Norfolk, VA",Supporting Republican Agendas
150,"
$0 raised of $5,000                    ",https://www.gofundme.com/help-my-republican-family-move-from-ca-to-tx,"Chico, CA",Help my Republican Family move from CA to TX
151,"
$0 raised of $20,000                    ",https://www.gofundme.com/christian-republicans-music-video,"Phoenix, AZ",Christian Republicans ( Music Video )
152,"
$0 raised of $25,000                    ",https://www.gofundme.com/republican-for-congress-2020-tx-9th-district,"Crosby, TX",David Thompson for Congress R-Tx 9th 2020 election
153,"
$0 raised of $400                    ",https://www.gofundme.com/6ncniu0,"Topeka, KS",The Young Republicans Trip
154,"
$0 raised of $800                    ",https://www.gofundme.com/6ncmjao,"Topeka, KS",Young Republicans
155,"
$0 raised of $840.0M                    ",https://www.gofundme.com/RepublicanFundraiserToSupportTheSchoolsSecurity,"Washington, DC",Republican Fund to support the Schools Security
156,"
$0 raised of $987.0M                    ",https://www.gofundme.com/RepublicanFundraiserToSupportTheGovernmentShutdown,"Washington, DC",Republican Fund to support the Government Shutdown
157,"
$0 raised of $900.0M                    ",https://www.gofundme.com/RepublicanFundraiserToSupportTheNRAGunOwners,"Washington, DC",Republican Fundraiser to support NRA Gun Owners
158,"
$0 raised of $982.0M                    ",https://www.gofundme.com/RepublicanFundraiserAgainstTheObamacare,"Washington, DC",Republican Fundraiser against the Obamacare Plans
159,"
$0 raised of $875.0M                    ",https://www.gofundme.com/FundToProtectPresidentTrumpFromCivilLawsuits,"Washington, DC",Fund to protect President Trump from Civil Lawsuit
160,"
$0 raised of $998.0M                    ",https://www.gofundme.com/FundToProtectPresidentTrumpFromIndictment,"Washington, DC",Fund to protect President Trump from Indictment
161,"
$0 raised of $996.0M                    ",https://www.gofundme.com/FundToSupportPresidentTrumpImmigrationPolicy,"Washington, DC",Fund to support President Trump Immigration Policy
162,"
$0 raised of $800.0M                    ",https://www.gofundme.com/FundFor2020RepublicanSenatorialCandidates,"Washington, DC",Fund for 2020 Republican Senatorial Candidates
163,"
$0 raised of $950.0M                    ",https://www.gofundme.com/RepublicanFundraiserToProtectPresidentTrump,"Washington, DC",Fund to protect President Trump from Impeachment
164,"
$0 raised of $980.0M                    ",https://www.gofundme.com/fundfor2020republicancongressionalcandidates,"Washington, DC",Fund for 2020 Republican Congressional Candidates
165,"
$0 raised of $995.0M                    ",https://www.gofundme.com/republicanfundraiserforpresidenttrumpreelection,"Washington, DC",Republican Fund for President Trump Re-Election
166,"
$0 raised of $1.0M                    ",https://www.gofundme.com/the-republican-alternative,"Portland, OR",Write In ADRIAN MCELDERY for PRESIDENT of USA 2020
167,"
$0 raised of $1,000                    ",https://www.gofundme.com/6mwr1ug,"Laingsburg, MI",brokebitch
168,"
$0 raised of $1.0M                    ",https://www.gofundme.com/primary-republicans,"Pass Christian, MS",Primary Republicans
169,"
$0 raised of $325,000                    ",https://www.gofundme.com/6lz3cg0,"Shelton, WA",WASHINGTON REPUBLICANS
170,"
$0 raised of $15,000                    ",https://www.gofundme.com/black-17-year-old-republican-kicked-out-of-home,"Lewiston, ID",Black 17 year old Republican kicked out of home
171,"
$0 raised of $20,000                    ",https://www.gofundme.com/i-came-out-as-republican,"New Bern, NC",I came out as republican
172,"
$0 raised of $3.0M                    ",https://www.gofundme.com/republicans-for-the-wall,"Hazelwood, MO",Republicans For The Wall
173,"
$0 raised of $10,000                    ",https://www.gofundme.com/kicked-out-for-being-republican,"Lawrenceville, GA",Kicked Out For Being Gay
174,"
$0 raised of $10.0M                    ",https://www.gofundme.com/beat-the-republicans,"Tulare, CA",Beat The Republicans
175,"
$0 raised of $10,000                    ",https://www.gofundme.com/help-a-republican-out,"Gainesville, GA",Help a republican out
176,"
$0 raised of $20,000                    ",https://www.gofundme.com/republican-muslim-american, ,Republican Muslim American
177,"
$0 raised of $20,000                    ",https://www.gofundme.com/if-you-want-me-to-become-a-republican,"Suitland, MD",If you want me to become a Republican
178,"
$0 raised of $10.0M                    ",https://www.gofundme.com/hi-republicans,"Québec, QC",Hi republicans
179,"
£0 raised of £10,000                    ",https://www.gofundme.com/help-a-republican-student-finish-studying, ,Help a republican student finish studying!
180,"
$0 raised of $10,000                    ",https://www.gofundme.com/hispanic-republicans-for-america,"El Paso, TX",Hispanic Republicans for America
181,"
$0 raised of $60,000                    ",https://www.gofundme.com/black-republicans-for-the-wall,"Indianapolis, IN",I just need a new car
182,"
$0 raised of $1.0M                    ",https://www.gofundme.com/prd85-help-build-the-wall,"Bear, DE",Help build the wall
183,"
$0 raised of $20,000                    ",https://www.gofundme.com/urban-minority-republican-league,"Newark, NJ",Urban Minority Republican League
184,"
£0 raised of £1,000                    ",https://www.gofundme.com/national-republican-party-fundraiser,Greater London,National Republican Party Fundraiser
185,"
$0 raised of $20,000                    ",https://www.gofundme.com/fired-for-being-black-republican,"Jacksonville, FL",Fired for being  black republican
186,"
$0 raised of $7,000                    ",https://www.gofundme.com/help-a-young-republican-black-man-go-to-school,"King Of Prussia, PA",Help a Young Republican Black Man Go to School
187,"
$0 raised of $500                    ",https://www.gofundme.com/6vey7-guns,"Orangevale, CA",Democrat vs Republican
188,"
$0 raised of $850                    ",https://www.gofundme.com/black-republican-family-needs-help,"Huntsville, AL",Black Republican Family Needs Help
189,"
$0 raised of $5,000                    ",https://www.gofundme.com/disavowed-republican-niece-needs-help-for-college,"Riverdale, IL",Disavowed Republican Niece Needs Help for College
190,"
$0 raised of $5,000                    ",https://www.gofundme.com/6f5qnrk,"Universal City, TX",Kicked out for becoming a Republican
191,"
$0 raised of $5,000                    ",https://www.gofundme.com/republicans-for-2020,"San Antonio, TX",Republicans for 2020
192,"
$0 raised of $3,000                    ",https://www.gofundme.com/help-a-young-republican-move-out,"North Hollywood, CA",help a young republican move out
193,"
$0 raised of $5,000                    ",https://www.gofundme.com/young-gay-republican-needs-help,"Anthem, AZ",Young Gay Republican Needs Help
194,"
$0 raised of $850                    ",https://www.gofundme.com/azgjtz-republican-house-party,"Jackson, TN",Republican House Party
195,"
$0 raised of $5,000                    ",https://www.gofundme.com/republican-family,"Atlanta, GA",Republican  family
196,"
$0 raised of $20,000                    ",https://www.gofundme.com/tough-being-young-and-republican,"Houston, TX",The Macias campaign
197,"
$0 raised of $79,000                    ",https://www.gofundme.com/success-with-republican-support,"Oswego, IL",Success with Republican support
198,"
$0 raised of $40,000                    ",https://www.gofundme.com/6cwz7cg,"North Little Rock, AR",MAGA college Republicans?
199,"
$0 raised of $10,000                    ",https://www.gofundme.com/votecarepublican,"Pomona, CA",VoteCARepublican
200,"
$0 raised of $100,000                    ",https://www.gofundme.com/vote-ca-republican,"Pomona, CA",Vote CA Republican
201,"
$0 raised of $1,000                    ",https://www.gofundme.com/republicans-with-no-ride,"Jacksonville, NC",Republicans with no ride
202,"
$0 raised of $50,000                    ",https://www.gofundme.com/reaching-out-torepublicans,"New Port Richey, FL",Reaching out to republicans!
203,"
$0 raised of $500                    ",https://www.gofundme.com/im-republican-so-patents-kicked-out,"Glen Burnie, MD",Parents kicked me out.
204,"
$0 raised of $50,000                    ",https://www.gofundme.com/abused-black-republican,"Atlanta, GA",Abused Black Republican
205,"
$0 raised of $3,500                    ",https://www.gofundme.com/hit-the-ground-for-republicans,"Dadeville, AL",Hit the Ground for Republicans
206,"
$0 raised of $1,500                    ",https://www.gofundme.com/hudson-young-republicans-19-kickoff,"Jersey City, NJ",Hudson Young Republicans 19 Kickoff
207,"
$0 raised of $100.0M                    ",https://www.gofundme.com/global-networking-republican-co,"Virginia Beach, VA",Global Networking - Republican Co
208,"
$0 raised of $6.0M                    ",https://www.gofundme.com/6be76y0, ,Republican Party
209,"
$0 raised of $1.0M                    ",https://www.gofundme.com/stop-the-rhino-republicans,"Houston, TX",Defeating Trump
210,"
$0 raised of $100,000                    ",https://www.gofundme.com/remove-red-anti-republican-action,"Hot Springs National Park, AR",Remove Red: Anti Republican Action
211,"
$0 raised of $7,000                    ",https://www.gofundme.com/support-republicans-in-hidalgo-county,"Alamo, TX",Support Our President
212,"
$0 raised of $100,000                    ",https://www.gofundme.com/America-Republican,"Palm Beach, FL",#American #Republican #Twitter
