,funds,link,location,summary,title
14,"
$340 raised of $1,000                    ",https://www.gofundme.com/eckerd-college-republicans-club,"Saint Petersburg, FL","The Eckerd College Republicans are back in action after 30 years! We will be returning this coming spring, 2019.  We’re asking y’all for funding to get the club started back up again.  Funding will go towards hosting our own meetings, parties and events, traveling to major political events, going...",Eckerd College Republicans Club
15,"
$245 raised of $2,000                    ",https://www.gofundme.com/truman-young-republicans-fundraiser,"Levittown, PA","The Truman Young Republican’s Club consists of a group of about 15 responsible, motivated Truman High School students who wish to educate themselves and others about current political issues.  As a first-year organization, we have had limited opportunities for fund-raising. We would like to broad...",Truman Young Republicans Fundraiser
16,"
$315 raised of $500                    ",https://www.gofundme.com/send-megan-to-the-college-republican-convention,"Noblesville, IN","This April I was elected to serve the Florida Federation of College Republicans as the 2nd Vice Chairwoman. With this amazing opportunity, I was invited to attend the College Republican National Convention which happens biannually. This will be my last chance to attend this event that takes place...",Send Megan to the College Republican Convention
17,"
$475 raised of $1,000                    ",https://www.gofundme.com/florence-relief-republican,"Lexington, SC",100% of all proceeds go directly to the victims of hurricane Florence,Republicans for Hurricane relief
18,"
$2,600 raised of $5,000                    ",https://www.gofundme.com/3597xp9w,"Sioux Falls, SD","At Augustana University, students are leaders. Students strive to achieve the highest possible standard of community, excellence, leadership and diligence. As the Augustana University Republicans, we are no different. Almost all student groups at Augustana University are student funded. We volunt...",Augie Republicans Trip to CPAC
19,"
$60 raised of $1,500                    ",https://www.gofundme.com/sju-college-republicans-to-cpac-19,"Broomall, PA","The College Republicans at SJU have had a great presence in the Philadelphia area this year. SJU College Republicans were awarded the chapter of excellence and continue to maintain that status. The chapter has increased membership, tabled, and canvassed for local elections in both Philadelphia an...",SJU College Republicans to CPAC ‘19
20,"
$2,331 raised of $2,500                    ",https://www.gofundme.com/rncjacoballin,"Mississauga, ON","Hello!  As many of you know I'm a student at Carleton University majoring in Political Science.  In the past year and a half I have worked on many different political projects. These ranged from interning in a Minister's office, to becoming a canvass supervisor on the Mississauga-Lakeshore campai...",Jacob's Republican Convention Fund
21,"
$935 raised of $2,500                    ",https://www.gofundme.com/republican039s-for-foster-kids,"Benton, AR","Project Zero works to connect waiting families with waiting children in the Foster Care system.    Through a combination of events and the creation of short films families are created each year. However, each year more children enter the foster system. Project Zero hops that one day there will be...",Republican's For Foster Kids
22,"
$425 raised of $1,000                    ",https://www.gofundme.com/university-of-toledo-college-republicans,"Perrysburg, OH","We are raising money to send some of our members to CPAC in Washington DC at the end of February, where they can further their knowledge and leadership skills. Members will have the chance to see The President of The United States, Vice President, and many other conservative leaders. The trip wil...",University of Toledo College Republicans
23,"
$971 raised of $12,500                    ",https://www.gofundme.com/republican-st-ppatch-site-improvements,"Seattle, WA",summary was NoneType,Republican St. P-Patch Site Improvements
24,"
$80 raised of $3,000                    ",https://www.gofundme.com/college-republicans-at-ucsc,"Santa Cruz, CA","The College Republicans at UC Santa Cruz are proud to announce they will be raising funds for the 2019 - 2020 school year. With past support our community has made it possible to bring names like David Horowitz, Cabot Phillips, and Christina Hoff Sommers to UCSC. Going forward we hope to bring no...",College Republicans at UCSC
25,"
$755 raised of $3,200                    ",https://www.gofundme.com/2019-fundraiser-for-cru,"Chandler, AZ","Formed in January of 2018, College Republicans United has already grown to be the largest Conservative student organization at Arizona State University. We are upbringing a new generation of Millennial Republicans to revitalize the Conservative base, that has been neglected until the Trump Era. C...",2019 Fundraiser for CRU
26,"
$1,440 raised of $3,000                    ",https://www.gofundme.com/college-republicans-at-ut-need-help,"Austin, TX","Help the College Republicans serve the UT Austin campus and keep Texas red for the decades to come! The next generation of Texan voters and leaders is walking around our campus right now, daily being fed a diet of leftist lies. If we want to keep Texas red, we need to make sure that conservatism...",College Republicans at UT need help
27,"
$3,000 raised of $10,000                    ",https://www.gofundme.com/cypress-city-council-republican,"Cypress, CA",Steven D. Bradley                                                              AGE: 63                                                                                                                                                        OCCUPATION: CPA/CFO Retired  I am a Republican.   I have be...,Cypress City Council
28,"
$340 raised of $4,000                    ",https://www.gofundme.com/dominic-republican-medical-assist,"Fuquay Varina, NC","Dear friends, family, peers, and other great influencers of my life,      I would first like to thank you for taking your time to read my letter. As many of you know, I plan to continue my education after high school by pursuing the medical field. Specifically, I would like to become a Physician’...",Dominican Republic Medical Assist
29,"
$865 raised of $2,500                    ",https://www.gofundme.com/uncw-college-republicans-cpac-2019-trip,"Oxon Hill, MD",Hello all! We are asking for donations to assist us with our annual trip to the Conservative Political Action Conference (CPAC) at the Gaylord National Convention Center in the National Harbor. CPAC 2019 is February 27 - March 2. CPAC is an opportunity for us to build connections with other conse...,UNCW College Republicans CPAC 2019
30,"
$1,100 raised of $1,500                    ",https://www.gofundme.com/bulldog-republicans-go-to-cpac,"Duluth, MN","Dear Fellow Republicans,      The Bulldog Republicans at UMD have had an eventful semester, and we are winding down after elections. There is still plenty of work to be done for us to further spread the conservative voice on campus. We have increased membership, tabled on campus, participated in...",Bulldog Republicans go to CPAC!
31,"
$125 raised of $5,000                    ",https://www.gofundme.com/college-republicans-ucsc-fund,"Santa Cruz, CA",The UCSC College Republicans want to bring you amazing speakers and events to our campus.  We need money to make this happen. Thanks for your generous support!,UCSC College Republicans Fundraiser
32,"
$889 raised of $4,000                    ",https://www.gofundme.com/young-republican-katelyn-mcguyer-needs-support,"Visalia, CA","Our niece, Katelyn, has been selected as an intern for our local congressman this summer in Washington D. C. Katelyn has demonstrated determination and a positive attitude interning in Hanford for Congressman Valadao while attending COS and working for Visalia Emergency Aid. She attended UC Berke...",Katelyn McGuyer needs support
33,"
$505 raised of $5,000                    ",https://www.gofundme.com/political-action-college-republicans,"Hartford, CT","College Republicans at Trinity College is launching a capital campaign! The money raised will be used to host speakers and events on campus. Also, funds will be used to provide basic operations for the club like providing food at meetings, fares for ubers to do door knocking and costs for marketi...",Political Action! College Republicans
34,"
$25 raised of $1,000                    ",https://www.gofundme.com/supportcsufgop,"Fullerton, CA","The CSUF Republicans seek to support conservative students, empowering them to be active on campus and in the community.  We've faced attacks from liberal student groups and ANTIFA. One our students was physically assaulted by a professor on campus. We were even sued by California Democrats. We n...",Support the CSUF Republicans!
35,"
$25 raised of $3,000                    ",https://www.gofundme.com/boone-county-republican-party,"Madison, WV","We are raising money to fund our party campaign, to serve our conservative citizens of this county.",Boone County Republican Party
36,"
$10 raised of $500,000                    ",https://www.gofundme.com/republicans-helping-gov039t-shutdown-employees,"Mesquite, NV","Republicans care more than Democrats.  They offer $1.00 to keep the government open, we will raise 500,000.   Money will be deposited to a Nevada savings account.",Republicans helping  Gov't shutdown employees
37,"
$20 raised of $1,000                    ",https://www.gofundme.com/Behrend-College-Republican-Formal,"Erie, PA",My name is Avery Skiviat and I am part of the political science community at Penn State Behrend. Our organization wants to attend a trip to Florida from December 19-22nd. We are attending the Student Action Summit hosted by Turning Point USA. This event will have over 4000 college students intere...,Behrend College Republican Formal
38,"
$100 raised of $1,800                    ",https://www.gofundme.com/beach-cities-republicans,"Palos Verdes Peninsula, CA","We meet every Third Thursday at the Torrance Sizzler in Torrance on Sepulveda Blvd. Last month, we were noticed of new policy changes on reserving the room. We are now force to pay a non-refundae room deposit to book the Sizzler meeting room.   We have to have a min of 50 memberships a year to  b...",Beach Cities Republicans
39,"
$80 raised of $500                    ",https://www.gofundme.com/sst-to-the-dominican-republican,"Fort Wayne, IN","I’m raising money to be able to have a fun lifetime experience and opportunity to travel to the Dominican Republic ! In order to go, I have to pay for three specific shots, a passport, other things to travel. I'm asking for donation, prayers, and what ever else you may be able to offer.  I will b...",SST Trip To The Dominican Republican
40,"
$160 raised of $7,500                    ",https://www.gofundme.com/exploration-into-district-1-republican-congress,"Franklinton, NC","I would like to set this up to cover my exploration into running for Congress in district 1 in NC. I am a Republican and want to bring common sense back into Congress. It's an uphill battle, but I look forward to the challenge. I appreciate you even taking the time to read this, I know it's a lon...",Exploration into District 1 Republican Congress
41,"
$150 raised of $1,600                    ",https://www.gofundme.com/electing-republican-women-training,"Honolulu, HI","To ensure the full spectrum of Republican Women voices who want to lead and run for office: This train for Republican women will cover topics, including making the decision to run, finding your voice, and effective networking. Only those at the table can truly make change...Help us get to the tab...",Electing Republican Women Training
42,"
$100 raised of $8.0M                    ",https://www.gofundme.com/any-republican-but-rob-portman,"Hamilton, OH",I have but one question? Are you tired of of taking the time to vote and help elect those that only turn around and vote against the reason you voted for them?  Lets raise some money to replace ROB PORTMAN! Rob Portman stood next to President Trump at the Warren County Fairgrounds on 10/12/2018 c...,Any Republican but Rob Portman!
43,"
$50 raised of $1,000                    ",https://www.gofundme.com/7rv3k-help-me-go-to-washington-dc,"Coral Springs, Florida","I am the founder of a club at my school called Black Republican Leaders. Don’t let the name confuse you, everyone is allowed to attend the club but we chose the name because we’re a group of young black republicans trying to normalize our political views. Our group was created about a month ago a...",Republican Leaders Washington DC trip.
44,"
$25 raised of $500                    ",https://www.gofundme.com/patrick-henry-teen-republicans,"Roanoke, VA","Roanoke City Public Schools currently have 250 students identified as homeless. The teachers and students of Roanoke City Public Schools will come together on November 17, 2018 and compete in a city-wide dodgeball tournament. All of the proceeds will benefit the Help the Homeless Fund. Our Help t...",Patrick Henry: Teen republicans
45,"
$20 raised of $500                    ",https://www.gofundme.com/oregon-republicans-threatened-w-arrest,"Hillsboro, OR",Oregon Governor Kate Brown has ordered the state police to round up legislators.  Their by forcing a quorum at gunpoint  in an attempt to force a vote on an emergency cap and trade bill.   Legislators will be fined $500 per day while they are in hiding.   All donations will will be given to https...,Oregon Republicans threatened w/ arrest.
46,"
$10 raised of $700                    ",https://www.gofundme.com/dominican-republican-mission-trip,"Bay City, MI","My goal is to visit the Dominic Republic this summer to build housing and community space, work with families and improve lives.  I'll be using the funds to secure a flight, lodging and meals.   With your donation, I can make a difference in the lives of many people.  I'll be sharing photos and e...",Dominican Republican Mission Trip
47,"
$5 raised of $350,000                    ",https://www.gofundme.com/antirepublican-apparel,"Brooklyn, NY","I say we fight propaganda with propaganda and create an anti-republican clothing line. Think classy anti-trump  and Notorious RBG shirts, similar to those with the image of Biggie Smalls. The shirts out now that follow our mantra are not great quality, and are lacking  in style . The next time th...",anti-republican apparel
48,"
$0 raised of $75,000                    ",https://www.gofundme.com/citadel-republican-society-to-cpac,"Charleston, SC","The Citadel Republican Society is looking to raise money for our annual trip to the Conservative Political Action Conference in Washington, D.C. This trip allows us to represent The Citadel, Charleston, and the state of South Carolina as one of the single largest school delegations that attends e...",Citadel Republican Society to CPAC
49,"
€0 raised of €5,000                    ",https://www.gofundme.com/ampliacion-de-estudio-y-equipos,"Pamplona, NA, Spain","Somos un grupo de personas que iniciamos este proyecto altruistamente, sin ningún tipo de interés económico lo que pretendemos es ser un medio de comunicación alternativo. Nuestra apuesta es fomentar los valores republicanos, preservar la memoria histórica, dar voz a las/os victimas del sistema c...",Ampliación de estudio y equipos
50,"
$0 raised of $5,000                    ",https://www.gofundme.com/muslim-politician-leaving-the-republican-party,"Ogden, UT",Please help support my work as I am writing a book on my journey in and out of the Republican Party as the only & last hijab-wearing Republican Muslim politician in America. I have decided to write about my experience as a Muslim woman who has left the Republican Party to help educate others on t...,Muslim politician leaving the Republican Party
51,"
$0 raised of $250,000                    ",https://www.gofundme.com/republican-challenger-to-president-trump,"Dover, NH","The Republican Party has not presented a nominee to challenge President Trump in the Republican Primaries. Until that happens, I am raising funds to start a presidential campaign. Am I qualified to be president? Not currently. Am I more qualified than President Trump to be president. Maybe, maybe...",Matthew Argall: A Presidential Bid
52,"
$0 raised of $29,000                    ",https://www.gofundme.com/help-move-2-republican-families-from-oregon,"Lebanon, OR",11 people of a Republican party want to leave the state of oregon. They all are for the wall and all are Republican people and are looking into relocating these families because of how different they are compared to their community's. Many people have told them to leave. Help fund them all on the...,Get 11 Republican people out of oregon
53,"
$0 raised of $5,000                    ",https://www.gofundme.com/help-umass-boston-college-republicans-attend-cpac,"Boston, MA",The College Republicans at the University of Massachusetts Boston (UMBCR ) have been working hard to bring a conservative voice to the UMB campus for over a year now. As we endeavor to continue our mission we are asking for your support. February 27th marks the beginning of the 2019 Conservative...,Help UMass Boston College Republicans attend CPAC!
54,"
$0 raised of $20,000                    ",https://www.gofundme.com/democrat-parents-disowns-republican,"Hillside, NJ",So basically i told my parents i am a republican and i support Donald Trump and this basically stopped paying my tuition and i have no were to stay im very hardworking and really want to finish college please help me out #MAGA  check my twitter for more information @Lovely_Flow201,Democrat Parents Disowns Republican
55,"
$0 raised of $100,000                    ",https://www.gofundme.com/w5x8ws,"San Diego, CA",i will sign a notary never to vote republican  in 2020 will make a difference in 2020 and midterms,i will never vote republican again
56,"
$0 raised of $1,200                    ",https://www.gofundme.com/scholarship-for-log-cabin-republicans,"Clairton, PA","I am a man of African and mixed American descent who identifies as a person involved in M2M, some categorize it as gay but I rather not be categorized by substandard bias. I am a black and gay Republican in short who believes in limited government, superior national defense, free market, equality...",Scholarship for Log Cabin Republicans
57,"
$0 raised of $999                    ",https://www.gofundme.com/inform-swing-state-republicans-about-border-crisis,"Harleysville, PA","We are concerned that placement of migrant children in permanent detention centers in Oklahoma (the ones formerly used for interning Japanese-Americans during WWII)  is a sign of creeping fascism in the U.S.  Our Republican friends, neighbors, colleagues and family members aren't monsters who are...",Moms' Moral Outrage Against Internment of Children
58,"
$0 raised of $10,000                    ",https://www.gofundme.com/young-black-republican-needs-money-for-college,"Trenton, NJ","Hello everybody! Recently, I decided to come out to my family and friends in support of President Donald Trump. The reactions I’ve received initially started as them ignoring me or chastising me for my beliefs, but now they’ve gone as far as to cut off funding for me this upcoming school year. I’...",Young Black Republican Needs Money For College!!!!
59,"
$0 raised of $1.8M                    ",https://www.gofundme.com/1oqjn6to80,"Long Beach, CA","PRESIDENTIAL CANDIDATE'S CAMPAIGN PLATFORM): !!! : --->  To rekindle ""American Dream"", ---> To make American Citizens First Class Citizens in their own Land; ---> To deport (all) Domestic Terrorists, and Hardened Criminals from USA, ---> To restore Family Values, To call for Referandum !!!, whe...","""Black Ted Cruz"" Republican Presidential Candidate"
60,"
$0 raised of $2,000                    ",https://www.gofundme.com/make-me-vote-republican,"El Cajon, CA","For the next presidential election, I will vote REPUBLICAN. I’m so sick of both parties!!!",Make Me Vote Republican!!!
61,"
$0 raised of $1,000                    ",https://www.gofundme.com/young-republicans-rally-nyc-union-square,"New York, NY",I want to bring a real Youth Trump Rally to the liberal heart of NYC - Union Square.     Lets show that our voices will be heard in all of America!  Your donations will help Make America Great Again!!!,Young Republicans Rally NYC. Union Square
62,"
$0 raised of $5,000                    ",https://www.gofundme.com/republican-presidential-candidate,"Temecula, CA",To run as a Candidate for the President of the United States.  Beliefs are: - Smaller Govt. - Better Tax Program - Stronger USA - Less Off-Shoring of US Jobs     - This doesn't mean that we cannot help the undeveloped and      oppressed countries to improve their own regional economic prosperity...,USA Presidential Candidate
63,"
$0 raised of $10,000                    ",https://www.gofundme.com/1oi4td52o0,"Dallas, TX","My goal is to train our youth in the art of gun safety in case of burglary, national/civil conflict, or all-around general knowledge. I have found it necessary for the youth to learn gun safety and how to use firearms and semi-auto/automatic weapons. I want to be part of a more conservative Ameri...",Gun Training For Young Republicans
64,"
$0 raised of $1,200                    ",https://www.gofundme.com/5r3dut-abortion-needed,"Birmingham, AL","Hi, raising money To continue my education. I’m a college student putting myself through school. I’m currently an economics major and I am raising money to start up a young Republicans club at my school. We strongly need a place where people with the same values and ideas can come together. In th...",Young Republicans
65,"
$0 raised of $1.8M                    ",https://www.gofundme.com/kwame-for-usa,"Long Beach, CA","(CAMPAIGN PLATFORM): To rekindle ""American Dream"", To make American Citizens First Class Citizens in their own Land; To deport (all) Domestic Terrorists, and Hardened Criminals from USA, To restore Family Values, To call for Referandum whether Majority of Americans want to (abolish) Same-Sex Marr...",Republican Presidential Candidate Fundraising
66,"
$0 raised of $1,000                    ",https://www.gofundme.com/1ofksdcg2o,"Seattle, WA","Hello, My name is Naima Mohamed. I am a freshmen in college and I am having a hard time with finances even thought I have two part time jobs. It pains me to have to ask for help but I really do need it. If you have money please donate.",Mexican Republican
67,"
$0 raised of $250,000                    ",https://www.gofundme.com/support-our-senate-republicans,"Portland, OR","It is up to us. We will support our representatives. Their decisions, are our decisions.   Thank you for speaking our values. This is the best decision for us all. With your fortitude and determination, the outcome will be the best.  This is a testament to our support. This will cover some of you...",Support our senate republicans
68,"
$0 raised of $500,000                    ",https://www.gofundme.com/republicans-legal-fee-fund,"Mannford, OK","The socialist prosecute and, question Republicans and, Republican supporters without regard for what legal fees it cost them having to hire a lawyer!  So this is to help with legal fees.",Republicans legal fee fund
69,"
$0 raised of $50,000                    ",https://www.gofundme.com/need-help-from-fellow-republicans,"San Fernando, CA",I've recently been kicked out of my house for bein . Trump Supporter. I could really use the help of my fellow Republicans with any type of contribution. Whether we raise the full amount or not I'll be grateful and happy. All money is to help me get on my feet. Thank you all and God bless!,Need Help From Fellow Republicans!
70,"
$0 raised of $10,000                    ",https://www.gofundme.com/helpoutfellowrepublican,"Detroit, MI",I am a 20 year old female college student and proud republican! I was recently disowned by my family for my political beliefs and need some help getting back on my feet. If any of my fellow republicans can help me it would mean the most to me! Thank you and let's remember to #MakeAmericaGreatAgai...,HELP OUT FELLOW REPUBLICAN
71,"
$0 raised of $65,000                    ",https://www.gofundme.com/help-a-republican-get-into-college,"Queens Village, NY",I want to got to school to get an education,Help a republican get into college
72,"
£0 raised of £1,000                    ",https://www.gofundme.com/national-republican-front-party,"Cove, ENG","National Republican Front is a division of the National Republican Party. Our goal is to change British politics forever by making our country more equal and democratic by advocating the abolition of the Monarchy from any state role. We want to simply want to end tax funding, unfair land distribu...",National Republican Front Organisation
73,"
$0 raised of $75,000                    ",https://www.gofundme.com/republican-awareness-for-our-youth,"Houston, TX","For over some time the African American community has been mislead by society into thinking the republic party is the reason for this countries downfall.... I’m Duprie Monroe and I’m here to change that, the youth of our community are the future and I want to teach our future the actual truth abo...",Republican awareness for our youth.
74,"
$0 raised of $250,000                    ",https://www.gofundme.com/take-back-the-house-for-republicans,"New Orleans, LA",Help Take back house for republicans,Take Back The House for Republicans
75,"
$0 raised of $150,000                    ",https://www.gofundme.com/nmn67u-republican-or-democrat,"Fort Payne, AL",not gonna give a sob story I just need money. want to buy a home for my family and maybe a nice family van. bills take it all but that's just life though.,family home and car
76,"
$0 raised of $11,000                    ",https://www.gofundme.com/are-you-a-democrat-or-a-republican,"Philadelphia, PA",Republicans versus Democrats. We have -2-  families both families have volunteered there service for 20 years raising feeding caring taking care of  disabled kids both  families can use upgrade on their houses we went to give a mystery box. To the winner. if you like. you could represent. If you...,Are you a Democrat or a Republican
77,"
$0 raised of $12,000                    ",https://www.gofundme.com/national-teenage-republican-conference-leadership,"Winfield, KS",We are the young republicans club for Cowley county and i see us as the future of the republican party but there is a national club who can help us thrive if we go to this meeting we will have a great number in resources and plenty of education opportunities   we barley have enough money we have...,National Teenage Republican Conference Leadership
78,"
$0 raised of $3,000                    ",https://www.gofundme.com/valley-pride-dominican-republican-baseball,"Dinuba, CA",My son is name jose delacruz from a small town name Dinuba.   He has played in baseball since he was five years old. He played for the community as well as a travel team.  He not only gives 110%  in the field but aswell  in school. He made it to an international travel baseball team named Valley...,Valley Pride Jose Dominican Republican baseball
79,"
$0 raised of $50,000                    ",https://www.gofundme.com/RepublicansSavingAmerica,"Pittsburgh, PA","My name is William Perry, and I am a 35 year old African American. When I speak to alot of our African American people it seems that they are not truly aware of history or the issues in general from a facts based perspective. CNN and other Democrats spew out falsified and false facts and the youn...",Black Republicans for President Trump
80,"
$0 raised of $200                    ",https://www.gofundme.com/1n1t0uuftc,"Augusta, GA",Every $11 gets a My Way (plan B) into the hands of a Georgia women who has been effected by recent legislation. I will be giving these out outside of the “fake” clinics ran by conservative groups that parade as Planned Parenthood centers.,Emergency Contraceptive In Republicans Honor
81,"
$0 raised of $2,000                    ",https://www.gofundme.com/mp9ap-nursing-classes,"El Cajon, CA","Hello everyone! I am a future nursing school student, and I’m having difficulties affording books...Any help would be appreciated. I want to help people, and dedicate my life to saving and helping others.",Make Me Vote Republican!
82,"
$0 raised of $5,000                    ",https://www.gofundme.com/help-a-local-republican,"Corpus Christi, TX","I am an 18 year old, Mexican-American who support president Trump with all of my heart. I recently told my strong democratic family the news that I will be publicly supporting Trump and other Republicans. In response, they disowned me and kicked me out of the house. Since then I’ve been on my own...",Help a local republican
83,"
$0 raised of $100,000                    ",https://www.gofundme.com/VoteRepublican2020,"Valley Springs, CA","Are you fed up with Democrats controlling the House of Representatives? Do you want to see our country have more red states? Do you want to make America great again?!  If you answered YES, you are not alone.  My friends and I live in the gold country of California where luckily our small town and...",Vote Republican 2020!
84,"
$0 raised of $1                    ",https://www.gofundme.com/republicans-put-your-money-where-your-mouth-is,"Scarborough, ME",This is a political competition between Republicans and Democrats!  Two fundraising campaigns are currently active. The campaign that raises the most money will win the competition!  The money from the winning campaign will be donated to the Presidential nominee of the victorious campaign's polit...,Republicans - Put Your Money Where Your Mouth Is!
85,"
$0 raised of $10,000                    ",https://www.gofundme.com/hispanics-republicans,"Brooklyn, NY","Hey!!   My name is Taj, I am an legal hispanic republican New Yorker! I am currently trying to start a community center  for hispanic youths such as myself who are also republicans.   As a legal American I am always bullied by hypocritical democrats who believe that I MUST be a democrat because I...",Hispanics Republicans
86,"
$0 raised of $5,000                    ",https://www.gofundme.com/the-republican-party-of-australia,"Hunters Hill, NSW",The Republican Party of Australia is an Australian political party dedicated to ending the country's links with the UK and establishing a republic.,The Republican Party of Australia
87,"
$0 raised of $14,000                    ",https://www.gofundme.com/republican-collectible-trading-cards,"Silver Spring, MD","I have an idea for a trading card series of the crazy Democrats that are ruining our country. I have a quote to produce 10,000 trading cards for $14,000. Th see cards will be full color front and back featuring our Democrat leaders and (lack of) accomplishments listed on back much like the classi...",Republican collectible trading cards
88,"
$0 raised of $750,000                    ",https://www.gofundme.com/young-republicans-of-Washington,"Yakima, WA","Our mission is to raise money to get young Republicans in Washington State registered to vote in 2020. We will use funds raised for advertising on various media platforms and sources. With your help, we can turn Washington State Republican in 2020.",Young Republicans of Washington
89,"
$0 raised of $100,000                    ",https://www.gofundme.com/identity-verified-republican-informative-website,"Escondido, CA","Raising money for a discourse website that is troll free for Republicans to share and gain knowledge.  To be a member of the site you will need to prove your American identity.  Help coordinate grassroots efforts in your neighborhoods and share information, etc, the sky is the limit.  This tool w...",Identity verified Republican discourse website
90,"
$0 raised of $50,000                    ",https://www.gofundme.com/eqkyt-republican-or-democrat,"Grand Junction, CO",Whose better?,Marvel vs. DC
91,"
$0 raised of $10,000                    ",https://www.gofundme.com/african-american-republicans-of-illinois,"Chicago, IL","I would like to bring awareness and support to Republican African Americans in Illinois. Living in a blue state, and also being African American, my views and issues are swept to the side for bigger groups with bigger pockets. I plan to organize this group to be a major player in upcoming electio...",African American Republicans of Illinois
92,"
$0 raised of $8,000                    ",https://www.gofundme.com/illinois-republicans-seeking-asylum-down-south,"Kewanee, IL","Many Illinois Republicans are scrambling to get out of this State because the working class is facing poverty with the never-ending new taxes, but must find a place to go while job hunting. We are mostly working class or retired, yes I said ""We"". I need help so I can help all My Family & Friends....",Illinois Republicans seeking Asylum down South
