Unnamed: 0,created_date,goal_int,link,location,raised_int,state,summary,tag,title,year,month,weekday_name
30,"January 23, 2019",1500.0,https://www.gofundme.com/bulldog-republicans-go-to-cpac,"Duluth, MN",1100.0,MN,"Dear Fellow Republicans,      The Bulldog Republicans at UMD have had an eventful semester, and we are winding down after elections. There is still plenty of work to be done for us to further spread the conservative voice on campus. We have increased membership, tabled on campus, participated in...",rep,Bulldog Republicans go to CPAC!,2019,1,Wednesday
31,"January 29, 2018",5000.0,https://www.gofundme.com/college-republicans-ucsc-fund,"Santa Cruz, CA",125.0,CA,The UCSC College Republicans want to bring you amazing speakers and events to our campus.  We need money to make this happen. Thanks for your generous support!,rep,UCSC College Republicans Fundraiser,2018,1,Monday
32,"April 1, 2019",4000.0,https://www.gofundme.com/young-republican-katelyn-mcguyer-needs-support,"Visalia, CA",889.0,CA,"Our niece, Katelyn, has been selected as an intern for our local congressman this summer in Washington D. C. Katelyn has demonstrated determination and a positive attitude interning in Hanford for Congressman Valadao while attending COS and working for Visalia Emergency Aid. She attended UC Berke...",rep,Katelyn McGuyer needs support,2019,4,Monday
33,"April 16, 2019",5000.0,https://www.gofundme.com/political-action-college-republicans,"Hartford, CT",505.0,CT,"College Republicans at Trinity College is launching a capital campaign! The money raised will be used to host speakers and events on campus. Also, funds will be used to provide basic operations for the club like providing food at meetings, fares for ubers to do door knocking and costs for marketi...",rep,Political Action! College Republicans,2019,4,Tuesday
34,"January 29, 2019",1000.0,https://www.gofundme.com/supportcsufgop,"Fullerton, CA",25.0,CA,"The CSUF Republicans seek to support conservative students, empowering them to be active on campus and in the community.  We've faced attacks from liberal student groups and ANTIFA. One our students was physically assaulted by a professor on campus. We were even sued by California Democrats. We n...",rep,Support the CSUF Republicans!,2019,1,Tuesday
35,"July 10, 2019",3000.0,https://www.gofundme.com/boone-county-republican-party,"Madison, WV",25.0,WV,"We are raising money to fund our party campaign, to serve our conservative citizens of this county.",rep,Boone County Republican Party,2019,7,Wednesday
37,"December 3, 2018",1000.0,https://www.gofundme.com/Behrend-College-Republican-Formal,"Erie, PA",20.0,PA,My name is Avery Skiviat and I am part of the political science community at Penn State Behrend. Our organization wants to attend a trip to Florida from December 19-22nd. We are attending the Student Action Summit hosted by Turning Point USA. This event will have over 4000 college students intere...,rep,Behrend College Republican Formal,2018,12,Monday
38,"August 30, 2018",1800.0,https://www.gofundme.com/beach-cities-republicans,"Palos Verdes Peninsula, CA",100.0,CA,"We meet every Third Thursday at the Torrance Sizzler in Torrance on Sepulveda Blvd. Last month, we were noticed of new policy changes on reserving the room. We are now force to pay a non-refundae room deposit to book the Sizzler meeting room.   We have to have a min of 50 memberships a year to  b...",rep,Beach Cities Republicans,2018,8,Thursday
39,"March 13, 2019",500.0,https://www.gofundme.com/sst-to-the-dominican-republican,"Fort Wayne, IN",80.0,IN,"I’m raising money to be able to have a fun lifetime experience and opportunity to travel to the Dominican Republic ! In order to go, I have to pay for three specific shots, a passport, other things to travel. I'm asking for donation, prayers, and what ever else you may be able to offer.  I will b...",rep,SST Trip To The Dominican Republican,2019,3,Wednesday
40,"February 22, 2019",7500.0,https://www.gofundme.com/exploration-into-district-1-republican-congress,"Franklinton, NC",160.0,NC,"I would like to set this up to cover my exploration into running for Congress in district 1 in NC. I am a Republican and want to bring common sense back into Congress. It's an uphill battle, but I look forward to the challenge. I appreciate you even taking the time to read this, I know it's a lon...",rep,Exploration into District 1 Republican Congress,2019,2,Friday
41,"February 21, 2019",1600.0,https://www.gofundme.com/electing-republican-women-training,"Honolulu, HI",150.0,HI,"To ensure the full spectrum of Republican Women voices who want to lead and run for office: This train for Republican women will cover topics, including making the decision to run, finding your voice, and effective networking. Only those at the table can truly make change...Help us get to the tab...",rep,Electing Republican Women Training,2019,2,Thursday
42,"March 15, 2019",8000000.0,https://www.gofundme.com/any-republican-but-rob-portman,"Hamilton, OH",100.0,OH,I have but one question? Are you tired of of taking the time to vote and help elect those that only turn around and vote against the reason you voted for them?  Lets raise some money to replace ROB PORTMAN! Rob Portman stood next to President Trump at the Warren County Fairgrounds on 10/12/2018 c...,rep,Any Republican but Rob Portman!,2019,3,Friday
43,"June 15, 2019",1000.0,https://www.gofundme.com/7rv3k-help-me-go-to-washington-dc,"Coral Springs, Florida",50.0,FL,"I am the founder of a club at my school called Black Republican Leaders. Don’t let the name confuse you, everyone is allowed to attend the club but we chose the name because we’re a group of young black republicans trying to normalize our political views. Our group was created about a month ago a...",rep,Republican Leaders Washington DC trip.,2019,6,Saturday
44,"November 1, 2018",500.0,https://www.gofundme.com/patrick-henry-teen-republicans,"Roanoke, VA",25.0,VA,"Roanoke City Public Schools currently have 250 students identified as homeless. The teachers and students of Roanoke City Public Schools will come together on November 17, 2018 and compete in a city-wide dodgeball tournament. All of the proceeds will benefit the Help the Homeless Fund. Our Help t...",rep,Patrick Henry: Teen republicans,2018,11,Thursday
45,"June 20, 2019",500.0,https://www.gofundme.com/oregon-republicans-threatened-w-arrest,"Hillsboro, OR",20.0,OR,Oregon Governor Kate Brown has ordered the state police to round up legislators.  Their by forcing a quorum at gunpoint  in an attempt to force a vote on an emergency cap and trade bill.   Legislators will be fined $500 per day while they are in hiding.   All donations will will be given to https...,rep,Oregon Republicans threatened w/ arrest.,2019,6,Thursday
46,"March 14, 2019",700.0,https://www.gofundme.com/dominican-republican-mission-trip,"Bay City, MI",10.0,MI,"My goal is to visit the Dominic Republic this summer to build housing and community space, work with families and improve lives.  I'll be using the funds to secure a flight, lodging and meals.   With your donation, I can make a difference in the lives of many people.  I'll be sharing photos and e...",rep,Dominican Republican Mission Trip,2019,3,Thursday
47,"December 24, 2018",350000.0,https://www.gofundme.com/antirepublican-apparel,"Brooklyn, NY",5.0,NY,"I say we fight propaganda with propaganda and create an anti-republican clothing line. Think classy anti-trump  and Notorious RBG shirts, similar to those with the image of Biggie Smalls. The shirts out now that follow our mantra are not great quality, and are lacking  in style . The next time th...",rep,anti-republican apparel,2018,12,Monday
48,"September 4, 2018",75000.0,https://www.gofundme.com/citadel-republican-society-to-cpac,"Charleston, SC",0.0,SC,"The Citadel Republican Society is looking to raise money for our annual trip to the Conservative Political Action Conference in Washington, D.C. This trip allows us to represent The Citadel, Charleston, and the state of South Carolina as one of the single largest school delegations that attends e...",rep,Citadel Republican Society to CPAC,2018,9,Tuesday
51,"April 8, 2019",250000.0,https://www.gofundme.com/republican-challenger-to-president-trump,"Dover, NH",0.0,NH,"The Republican Party has not presented a nominee to challenge President Trump in the Republican Primaries. Until that happens, I am raising funds to start a presidential campaign. Am I qualified to be president? Not currently. Am I more qualified than President Trump to be president. Maybe, maybe...",rep,Matthew Argall: A Presidential Bid,2019,4,Monday
52,"February 16, 2019",29000.0,https://www.gofundme.com/help-move-2-republican-families-from-oregon,"Lebanon, OR",0.0,OR,11 people of a Republican party want to leave the state of oregon. They all are for the wall and all are Republican people and are looking into relocating these families because of how different they are compared to their community's. Many people have told them to leave. Help fund them all on the...,rep,Get 11 Republican people out of oregon,2019,2,Saturday
53,"January 17, 2019",5000.0,https://www.gofundme.com/help-umass-boston-college-republicans-attend-cpac,"Boston, MA",0.0,MA,The College Republicans at the University of Massachusetts Boston (UMBCR ) have been working hard to bring a conservative voice to the UMB campus for over a year now. As we endeavor to continue our mission we are asking for your support. February 27th marks the beginning of the 2019 Conservative...,rep,Help UMass Boston College Republicans attend CPAC!,2019,1,Thursday
54,"November 6, 2018",20000.0,https://www.gofundme.com/democrat-parents-disowns-republican,"Hillside, NJ",0.0,NJ,So basically i told my parents i am a republican and i support Donald Trump and this basically stopped paying my tuition and i have no were to stay im very hardworking and really want to finish college please help me out #MAGA  check my twitter for more information @Lovely_Flow201,rep,Democrat Parents Disowns Republican,2018,11,Tuesday
56,"July 12, 2019",1200.0,https://www.gofundme.com/scholarship-for-log-cabin-republicans,"Clairton, PA",0.0,PA,"I am a man of African and mixed American descent who identifies as a person involved in M2M, some categorize it as gay but I rather not be categorized by substandard bias. I am a black and gay Republican in short who believes in limited government, superior national defense, free market, equality...",rep,Scholarship for Log Cabin Republicans,2019,7,Friday
58,"July 6, 2019",10000.0,https://www.gofundme.com/young-black-republican-needs-money-for-college,"Trenton, NJ",0.0,NJ,"Hello everybody! Recently, I decided to come out to my family and friends in support of President Donald Trump. The reactions I’ve received initially started as them ignoring me or chastising me for my beliefs, but now they’ve gone as far as to cut off funding for me this upcoming school year. I’...",rep,Young Black Republican Needs Money For College!!!!,2019,7,Saturday
59,"July 3, 2019",1800000.0,https://www.gofundme.com/1oqjn6to80,"Long Beach, CA",0.0,CA,"PRESIDENTIAL CANDIDATE'S CAMPAIGN PLATFORM): !!! : --->  To rekindle ""American Dream"", ---> To make American Citizens First Class Citizens in their own Land; ---> To deport (all) Domestic Terrorists, and Hardened Criminals from USA, ---> To restore Family Values, To call for Referandum !!!, whe...",rep,"""Black Ted Cruz"" Republican Presidential Candidate",2019,7,Wednesday
60,"June 30, 2019",2000.0,https://www.gofundme.com/make-me-vote-republican,"El Cajon, CA",0.0,CA,"For the next presidential election, I will vote REPUBLICAN. I’m so sick of both parties!!!",rep,Make Me Vote Republican!!!,2019,6,Sunday
61,"June 30, 2019",1000.0,https://www.gofundme.com/young-republicans-rally-nyc-union-square,"New York, NY",0.0,NY,I want to bring a real Youth Trump Rally to the liberal heart of NYC - Union Square.     Lets show that our voices will be heard in all of America!  Your donations will help Make America Great Again!!!,rep,Young Republicans Rally NYC. Union Square,2019,6,Sunday
62,"June 28, 2019",5000.0,https://www.gofundme.com/republican-presidential-candidate,"Temecula, CA",0.0,CA,To run as a Candidate for the President of the United States.  Beliefs are: - Smaller Govt. - Better Tax Program - Stronger USA - Less Off-Shoring of US Jobs     - This doesn't mean that we cannot help the undeveloped and      oppressed countries to improve their own regional economic prosperity...,rep,USA Presidential Candidate,2019,6,Friday
63,"June 27, 2019",10000.0,https://www.gofundme.com/1oi4td52o0,"Dallas, TX",0.0,TX,"My goal is to train our youth in the art of gun safety in case of burglary, national/civil conflict, or all-around general knowledge. I have found it necessary for the youth to learn gun safety and how to use firearms and semi-auto/automatic weapons. I want to be part of a more conservative Ameri...",rep,Gun Training For Young Republicans,2019,6,Thursday
64,"June 26, 2019",1200.0,https://www.gofundme.com/5r3dut-abortion-needed,"Birmingham, AL",0.0,AL,"Hi, raising money To continue my education. I’m a college student putting myself through school. I’m currently an economics major and I am raising money to start up a young Republicans club at my school. We strongly need a place where people with the same values and ideas can come together. In th...",rep,Young Republicans,2019,6,Wednesday
65,"June 26, 2019",1800000.0,https://www.gofundme.com/kwame-for-usa,"Long Beach, CA",0.0,CA,"(CAMPAIGN PLATFORM): To rekindle ""American Dream"", To make American Citizens First Class Citizens in their own Land; To deport (all) Domestic Terrorists, and Hardened Criminals from USA, To restore Family Values, To call for Referandum whether Majority of Americans want to (abolish) Same-Sex Marr...",rep,Republican Presidential Candidate Fundraising,2019,6,Wednesday
66,"June 25, 2019",1000.0,https://www.gofundme.com/1ofksdcg2o,"Seattle, WA",0.0,WA,"Hello, My name is Naima Mohamed. I am a freshmen in college and I am having a hard time with finances even thought I have two part time jobs. It pains me to have to ask for help but I really do need it. If you have money please donate.",rep,Mexican Republican,2019,6,Tuesday
68,"June 23, 2019",500000.0,https://www.gofundme.com/republicans-legal-fee-fund,"Mannford, OK",0.0,OK,"The socialist prosecute and, question Republicans and, Republican supporters without regard for what legal fees it cost them having to hire a lawyer!  So this is to help with legal fees.",rep,Republicans legal fee fund,2019,6,Sunday
69,"June 22, 2019",50000.0,https://www.gofundme.com/need-help-from-fellow-republicans,"San Fernando, CA",0.0,CA,I've recently been kicked out of my house for bein . Trump Supporter. I could really use the help of my fellow Republicans with any type of contribution. Whether we raise the full amount or not I'll be grateful and happy. All money is to help me get on my feet. Thank you all and God bless!,rep,Need Help From Fellow Republicans!,2019,6,Saturday
70,"June 19, 2019",10000.0,https://www.gofundme.com/helpoutfellowrepublican,"Detroit, MI",0.0,MI,I am a 20 year old female college student and proud republican! I was recently disowned by my family for my political beliefs and need some help getting back on my feet. If any of my fellow republicans can help me it would mean the most to me! Thank you and let's remember to #MakeAmericaGreatAgai...,rep,HELP OUT FELLOW REPUBLICAN,2019,6,Wednesday
71,"June 15, 2019",65000.0,https://www.gofundme.com/help-a-republican-get-into-college,"Queens Village, NY",0.0,NY,I want to got to school to get an education,rep,Help a republican get into college,2019,6,Saturday
73,"June 13, 2019",75000.0,https://www.gofundme.com/republican-awareness-for-our-youth,"Houston, TX",0.0,TX,"For over some time the African American community has been mislead by society into thinking the republic party is the reason for this countries downfall.... I’m Duprie Monroe and I’m here to change that, the youth of our community are the future and I want to teach our future the actual truth abo...",rep,Republican awareness for our youth.,2019,6,Thursday
74,"June 13, 2019",250000.0,https://www.gofundme.com/take-back-the-house-for-republicans,"New Orleans, LA",0.0,LA,Help Take back house for republicans,rep,Take Back The House for Republicans,2019,6,Thursday
75,"June 11, 2019",150000.0,https://www.gofundme.com/nmn67u-republican-or-democrat,"Fort Payne, AL",0.0,AL,not gonna give a sob story I just need money. want to buy a home for my family and maybe a nice family van. bills take it all but that's just life though.,rep,family home and car,2019,6,Tuesday
77,"May 28, 2019",12000.0,https://www.gofundme.com/national-teenage-republican-conference-leadership,"Winfield, KS",0.0,KS,We are the young republicans club for Cowley county and i see us as the future of the republican party but there is a national club who can help us thrive if we go to this meeting we will have a great number in resources and plenty of education opportunities   we barley have enough money we have...,rep,National Teenage Republican Conference Leadership,2019,5,Tuesday
78,"May 26, 2019",3000.0,https://www.gofundme.com/valley-pride-dominican-republican-baseball,"Dinuba, CA",0.0,CA,My son is name jose delacruz from a small town name Dinuba.   He has played in baseball since he was five years old. He played for the community as well as a travel team.  He not only gives 110%  in the field but aswell  in school. He made it to an international travel baseball team named Valley...,rep,Valley Pride Jose Dominican Republican baseball,2019,5,Sunday
79,"May 24, 2019",50000.0,https://www.gofundme.com/RepublicansSavingAmerica,"Pittsburgh, PA",0.0,PA,"My name is William Perry, and I am a 35 year old African American. When I speak to alot of our African American people it seems that they are not truly aware of history or the issues in general from a facts based perspective. CNN and other Democrats spew out falsified and false facts and the youn...",rep,Black Republicans for President Trump,2019,5,Friday
80,"May 16, 2019",200.0,https://www.gofundme.com/1n1t0uuftc,"Augusta, GA",0.0,GA,Every $11 gets a My Way (plan B) into the hands of a Georgia women who has been effected by recent legislation. I will be giving these out outside of the “fake” clinics ran by conservative groups that parade as Planned Parenthood centers.,rep,Emergency Contraceptive In Republicans Honor,2019,5,Thursday
82,"May 13, 2019",5000.0,https://www.gofundme.com/help-a-local-republican,"Corpus Christi, TX",0.0,TX,"I am an 18 year old, Mexican-American who support president Trump with all of my heart. I recently told my strong democratic family the news that I will be publicly supporting Trump and other Republicans. In response, they disowned me and kicked me out of the house. Since then I’ve been on my own...",rep,Help a local republican,2019,5,Monday
83,"May 6, 2019",100000.0,https://www.gofundme.com/VoteRepublican2020,"Valley Springs, CA",0.0,CA,"Are you fed up with Democrats controlling the House of Representatives? Do you want to see our country have more red states? Do you want to make America great again?!  If you answered YES, you are not alone.  My friends and I live in the gold country of California where luckily our small town and...",rep,Vote Republican 2020!,2019,5,Monday
84,"May 4, 2019",1.0,https://www.gofundme.com/republicans-put-your-money-where-your-mouth-is,"Scarborough, ME",0.0,ME,This is a political competition between Republicans and Democrats!  Two fundraising campaigns are currently active. The campaign that raises the most money will win the competition!  The money from the winning campaign will be donated to the Presidential nominee of the victorious campaign's polit...,rep,Republicans - Put Your Money Where Your Mouth Is!,2019,5,Saturday
85,"April 29, 2019",10000.0,https://www.gofundme.com/hispanics-republicans,"Brooklyn, NY",0.0,NY,"Hey!!   My name is Taj, I am an legal hispanic republican New Yorker! I am currently trying to start a community center  for hispanic youths such as myself who are also republicans.   As a legal American I am always bullied by hypocritical democrats who believe that I MUST be a democrat because I...",rep,Hispanics Republicans,2019,4,Monday
87,"April 27, 2019",14000.0,https://www.gofundme.com/republican-collectible-trading-cards,"Silver Spring, MD",0.0,MD,"I have an idea for a trading card series of the crazy Democrats that are ruining our country. I have a quote to produce 10,000 trading cards for $14,000. Th see cards will be full color front and back featuring our Democrat leaders and (lack of) accomplishments listed on back much like the classi...",rep,Republican collectible trading cards,2019,4,Saturday
88,"April 21, 2019",750000.0,https://www.gofundme.com/young-republicans-of-Washington,"Yakima, WA",0.0,WA,"Our mission is to raise money to get young Republicans in Washington State registered to vote in 2020. We will use funds raised for advertising on various media platforms and sources. With your help, we can turn Washington State Republican in 2020.",rep,Young Republicans of Washington,2019,4,Sunday
89,"April 19, 2019",100000.0,https://www.gofundme.com/identity-verified-republican-informative-website,"Escondido, CA",0.0,CA,"Raising money for a discourse website that is troll free for Republicans to share and gain knowledge.  To be a member of the site you will need to prove your American identity.  Help coordinate grassroots efforts in your neighborhoods and share information, etc, the sky is the limit.  This tool w...",rep,Identity verified Republican discourse website,2019,4,Friday
90,"April 16, 2019",50000.0,https://www.gofundme.com/eqkyt-republican-or-democrat,"Grand Junction, CO",0.0,CO,Whose better?,rep,Marvel vs. DC,2019,4,Tuesday
91,"April 16, 2019",10000.0,https://www.gofundme.com/african-american-republicans-of-illinois,"Chicago, IL",0.0,IL,"I would like to bring awareness and support to Republican African Americans in Illinois. Living in a blue state, and also being African American, my views and issues are swept to the side for bigger groups with bigger pockets. I plan to organize this group to be a major player in upcoming electio...",rep,African American Republicans of Illinois,2019,4,Tuesday
92,"April 14, 2019",8000.0,https://www.gofundme.com/illinois-republicans-seeking-asylum-down-south,"Kewanee, IL",0.0,IL,"Many Illinois Republicans are scrambling to get out of this State because the working class is facing poverty with the never-ending new taxes, but must find a place to go while job hunting. We are mostly working class or retired, yes I said ""We"". I need help so I can help all My Family & Friends....",rep,Illinois Republicans seeking Asylum down South,2019,4,Sunday
