,funds,link,location,title,created_date,summary
10,"
$575 raised of $2,500                    ",https://www.gofundme.com/keep-the-gay-republican-alive,"Austin, TX",Help Keep The Gay Republican Alive,"Created December 28, 2018","Facebook & Twitter has done everything possible to shut me down. My Facebook account was deleted and my twitter was purged from 100K+ to 2k. Tell me that's not corporate censorship? For the last 6 years blogging has been my life. It paid the bills, and helped spread the message of Compassionate Conservatism! My goal was to reach every single LGBT Conservative out there to let them know they're NOT ALONE in this fight!  Facebook deleted my ""like"" page for TheGayRepublican and accused me of Spam & Fake news. If you know me, then you know that's far from the truth. Social Media giants hate when someone like me steps out of line of their ""Norm"". I fight everyday to make sure President Trump's message is heard loud & clear. I'm an independent journalist who loves to help spread the message of Conservatism. I've fallen on some hard times thanks to Facebook & Twitter who have almost put me completely out of business. I'm asking anyone who loves President Trump & his America First agenda to help get me back on my feet & keep pushing out real news and commentary! Please donate any amount you can! God Bless Patriots!-Ethan"
11,"
$1,930 raised of $5,000                    ",https://www.gofundme.com/hillsdalecpac,"Hillsdale, MI",CPAC-Hillsdale College Republicans,"Created October 23, 2016","Hillsdale College Republicans aims to take students to the Conservative Political Action Conference (CPAC) every year in Washington D.C. Students are able to listen to a vast array of conservative speakers and often have opportunities to meet and connect with them. CPAC is a great place for students to get involved in the political realm, but also search for jobs and internships. However, we need help making it more affordable for students to take this trip. All donations will go towards getting Hillsdale students to Washington D.C. (i.e. bus expenses, hotel rooms, conference tickets). Please consider donating to help Hillsdale students gain the experience of a lifetime. Thank you for your help!"
12,"
$1,595 raised of $1,500                    ",https://www.gofundme.com/25j9xngs,"Everett, WA",Send Natalie to Republican Natl Con,"Created May 23, 2016","Update: I set my goal assuming a frugal and thrifty trip (splitting a hotel room three ways, choosing a less desirable flight time, etc.) and I'm not going to change my attitude because of your generosity. All extra funds will go toward fellow young, deserving delegation members. You can donate to them directly:Vadim Kasko's family fled the Ukraine after his Dad was persecuted for being a Christian and tortured by the USSR. He truly knows the value of liberty and earned a reputation in our congressional district as a hard worker who goes above and beyond.Judah Finney is the Island County Chair of the Cruz campaign, the youngest chair in our congressional district. As we worked together I got to see first hand how principled and honorable he is.My name is Natalie Zook. I proudly stand among Washington's 40 out of 41 delegates and 38 out of 41 alternates who are Cruz Conservatives. Cruz has suspended his campaign, but he will never suspend his values. We're here to make the GOP conservative again.At 18, I'm one of the youngest members of the Washington delegation. It was humbling to begin receiving support immediately. One precious woman gave me her contact information and told me to send her any prayer requests. One man pulled out his wallet and gave me money when I only off-handedly mentioned I'd be raising funds. Another man came up and prayed with me right there at the front of the caucus meeting room. How You Can Support Me:-Donate any amount toward airfair, hotel, and convention fee costs-Share this page on Facebook or Twitter or email it to a friend-Pray for God's guidance and blessing for me and the entire delegationAbout Me: I'm a constitutional conservative, raised by constitutional conservatives. I was born, bred, and homeschooled in Texas. I grew up in an activist family, helping wherever I could. When we moved to Washington state I volunteered with the Cruz campaign. In the true spirit of ""Give 'em a title and get 'em involved,"" I've been labled 38th District Co-Chair and Snohomish County Block Walking Chair. To me, I was doing nothing more than once again helping where I could.My fundraising goal is lower than you might expect. I am indebted to my parents, who surprised me with a significant gift, and am exceedingly thankful to God for the financial blessings he has put in my life. I pray I am a good steward of His provisions."
13,"
$1,575 raised of $3,500                    ",https://www.gofundme.com/cpac-in-washington-dc,"Fairfield, CT",CPAC in Washington DC,"Created February 5, 2017","The Fairfield University College Republicans will be traveling to Washington DC in a few weeks to attend CPAC (Conservative Political Action Conference), with a total of 15 club members.  The costs for the trip are very high to cover travel and board and we are asking for donations. We hope that this experience will teach us more about our conservative values and beliefs, activism skills, being involved in local politics, and youth outreach. We hope to represent Fairfield University and the town on a national level."
14,"
$557 raised of $500                    ",https://www.gofundme.com/templecrs,"Philadelphia, PA",Temple College Republicans Fundraising Initiative,"Created June 4, 2019","The Temple University College Republicans is a student organization on the Temple University campus that is dedicated to promoting conservative and Republican ideals to the student body, in addition to combating and promoting the truth when it comes to liberalism and progressivism.Proceeds will be used towards any of the following:- A commemorative 9/11 flag display memorial on campus.- Monthly activism activities and speaker events.- Merchandise (shirts, banners, posters) to promote the conservative cause on campus.- Our organization’s yearly trip to CPAC in Washington D.C.Any and all donations are deeply appreciated!"
15,"
$340 raised of $1,000                    ",https://www.gofundme.com/eckerd-college-republicans-club,"Saint Petersburg, FL",Eckerd College Republicans Club,"Created December 27, 2018","The Eckerd College Republicans are back in action after 30 years! We will be returning this coming spring, 2019. We’re asking y’all for funding to get the club started back up again. Funding will go towards hosting our own meetings, parties and events, traveling to major political events, going to take lessons at the local shooting range, and the production of some awesome club gear. Anything and everything helps. Keep it Great,EC Republicans"
16,"
$245 raised of $2,000                    ",https://www.gofundme.com/truman-young-republicans-fundraiser,"Levittown, PA",Truman Young Republicans Fundraiser,"Created February 8, 2019","The Truman Young Republican’s Club consists of a group of about 15 responsible, motivated Truman High School students who wish to educate themselves and others about current political issues.As a first-year organization, we have had limited opportunities for fund-raising. We would like to broaden our students’ experiences by taking trips to visit elected officials both locally and in Washington D.C., if possible.The funds raised will be used to create unity by providing club members with t-shirts, after-school meeting snacks, and hopefully reduce the cost of a trip to Washington D.C. to get a VIP meeting with our congressional representatives.Young Republicans offer the opportunity for political involvement at the local, state, and national level though local clubs, state YR federations, and the Young Republican National Federation.Each member thanks you for any and all contributions made! You can be assured your money will be put to good use and we will publish information on how the funds were spent.If you would like to make a direct contribution (without GoFundMe fees), please make checks payable to “Truman High School.” Thank you!"
17,"
$315 raised of $500                    ",https://www.gofundme.com/send-megan-to-the-college-republican-convention,"Noblesville, IN",Send Megan to the College Republican Convention,"Created June 26, 2019","This April I was elected to serve the Florida Federation of College Republicans as the 2nd Vice Chairwoman. With this amazing opportunity, I was invited to attend the College Republican National Convention which happens biannually. This will be my last chance to attend this event that takes place in Washington DC in two weeks. Through this convention, I will interact with top Republican leaders across the country and learn from the best and brightest on keeping America great. I am humbled by this opportunity, but without the help of friends and family, this event will be a burden on myself and my parents. I have to cover my flights, hotel, registration fee, museums to learn more about our great nation, and food during this trip. Any amount helps to get me there. Thank you."
18,"
$2,600 raised of $5,000                    ",https://www.gofundme.com/3597xp9w,"Sioux Falls, SD",Augie Republicans Trip to CPAC,"Created November 8, 2015","At Augustana University, students are leaders. Students strive to achieve the highest possible standard of community, excellence, leadership and diligence. As the Augustana University Republicans, we are no different. Almost all student groups at Augustana University are student funded. We volunteer at local non-profits to raise money for our student account. With the money that we raise, we dedicate the funds to our members; we provide them with opportunities for learning. One of the greatest opportunities for young conservatives to hit the ground running is the Conservative Political Action Conference, or CPAC, in Washington, D.C. in March, 2016. The conference hosts thousands of conservative leaders, and is even hosting a few of the Presidential Candidates who are fighting for Republican Nominee. CPAC is a bootcamp for young conservatives: it engages them in the political process, creates networks, and provides hands-on learning about how college students can relay their political experience and skills onto their campuses; thus sharing conservative values, engaging more students into one of most important parts of being an American citizen. That's where you come in. Augustana University Republicans want to take as many students as possible. Our goal is to take 18 students to Washington, D.C for four nights during the conference. We will use the funds to pay for flight tickets, transportation to and from the airport, and lodging. As the conference is in Washington, D.C in March, we are trying to reach our goal of $5,000 by the end of January 2016 in order to book flights for 18 students. As any conservative knows, hard work and dedication will reap results. We know that with hard work and dedication, we can make this trip affordable for 18 college students. Attending CPAC is going to be the highlight of our college careers. We will be in the political center of the world, meeting and listening to some of the most influential conservative leaders, and best of all, we will be with other conservatives from around the country with the same values . While learning and experiencing so much, we will be surrounded by our fellow colleagues and friends. This trip will mean so much to our group, and it will create experiences we will remember for the rest of our lives. Thank you, thank you, thank you in advance for the time you took to read our story, and your consideration in donating. We hope you understand that we could not appreciate you more. We are so grateful for your kindness, thoughtfulness and consideration in donating. Thank you so much again, and we look forward to sharing our experiences with you."
19,"
$60 raised of $1,500                    ",https://www.gofundme.com/sju-college-republicans-to-cpac-19,"Broomall, PA",SJU College Republicans to CPAC ‘19,"Created October 31, 2018","The College Republicans at SJU have had a great presence in the Philadelphia area this year. SJU College Republicans were awarded the chapter of excellence and continue to maintain that status. The chapter has increased membership, tabled, and canvassed for local elections in both Philadelphia and Lower Merion. However we still have plenty of work that needs to be done. We are planning to attend the Conservative Political Action Conference (CPAC) this February. Last year, students had the opportunity to listen to President Trump, Vice President Pence, many members of the Trump Administration, members of Congress, Governors, and many more famous conservative voices. CPAC is a great event for students to become educated about the current political environment and develop conservative values. Last year, several students traveled to Washington D.C. for this conference, and this year we have a higher demand in students that signed up. Due to lack of school funding, the SJU College Republicans are asking for your help to make this trip more affordable. The cost of CPAC is the biggest barrier that prohibits students from attending. Our club is doing everything in our power through multiple different fundraisers to cover the cost of CPAC tickets and reduce the price of hotel accommodations. Any donation would help lower the cost and make this conference more affordable for the SJU College Republicans. We are grateful for your continued support of the SJU College Republicans. We appreciate any help you can give. Thank you for your time and consideration.   Sincerely, St. Joseph's University - College Republicans"
20,"
$2,331 raised of $2,500                    ",https://www.gofundme.com/rncjacoballin,"Mississauga, ON",Jacob's Republican Convention Fund,"Created June 21, 2016","Hello!As many of you know I'm a student at Carleton University majoring in Political Science.In the past year and a half I have worked on many different political projects. These ranged from interning in a Minister's office, to becoming a canvass supervisor on the Mississauga-Lakeshore campaign, to being the Campaign Manager for a National Campaign.Reflecting on my accomplishments of this past year I am very grateful to all those who have helped me get where I am today. Without your advice and support I would not have been given this opportunity:I was selected to go to the Republican National Convention in Cleveland as an International Observer.Unfortunately though, this opportunity is not cheap and with all costs included will be about $2500. As a student it is nearly impossible for me to cover this entirely alone.As this is the opportunity of a life time, it is extremely valuable both in my political and academic life to attend.The money will be used to pay for the delegate cost, accomodations and travel to and from Cleveland.The Convention runs from July 18-21. Very soon I will have to book accomodations and travel, so the sooner donations are made the better. To all who donate, I will do my best to get you some sort of souvenir from the Convention whether it be a button or a t-shirt.History will be made at this Convention. I would like to thank you all in advance to those who help and to those who have helped me get to this point.Thank you so very much!Jacob Allin"
21,"
$880 raised of $3,200                    ",https://www.gofundme.com/2019-fundraiser-for-cru,"Chandler, AZ",2019 Fundraiser for CRU,"Created November 7, 2018","Formed in January of 2018, College Republicans United has already grown to be the largest Conservative student organization at Arizona State University. We are upbringing a new generation of Millennial Republicans to revitalize the Conservative base, that has been neglected until the Trump Era. CRU is the only ASU club that is active in getting politicians elected at local, state, and federal levels. As an independently established student organization, we are a group of millennials who aim to uphold primary Conservative values while maintaining an active presence in the evolving political dialogue. Our members consistently seek out opportunities for productive dialogue and involvement in our communities.Our activities consists of weekly meetings at Arizona State University, collaborative journalism, outreach events and invitational speeches by well-known Conservative contributors. We do not discriminate nor push our own views onto members. We provide a diverse line-up of guest speakers with varying opinions, and encourage public discussions afterwards. Currently, our meetings are only held in the Tempe area, but we have begun participating in special events around the larger Phoenix Metro area.Starting GoalTotal Need: $3,200 based on 2018 figures- Important Activities : $1,400Most speakers at College Republicans United are typically local politicians, ASU faculty, or other organizations based in Arizona. Once a semester however we try to bring in a nationally recognized figure. In the Spring of 2018 CRU hosted Dick Heller from the Second Amendment Institute in Washington DC.  District of Columbia v. Heller, 554 U.S. 570 was a landmark case in which the Supreme Court of the United States held that the 2nd Amendment protects an individuals right to possess a firearm, unconnected with service in a militia, and that Washington DC's handgun ban was unconstitutional. Mr Heller spoke to CRU about his 2nd Amendment views as well as his involvement in the long legal process to the Supreme Court. In the fall semester CRU hosted Lauren Chen from CRTV's Roaming Millennial, a popular conservative YouTube star. - Food: $755CRU typically provides food to each meeting.- Security: $600Occasionally College Republicans United hosts individuals who are at risk of violence by groups such as ANTIFA and other Domestic Terrorists. Politicians such as Sheriff Joe Arpaio, and Congressmen Andy Biggs have had security concerns at Arizona State. The college unfortunately does not provide resources for conservative speakers and we are required to pay for private security services for our at risk speakers and attendees.- Advertising: $450Business cards, flyers, banners, webpage hosting adds up over time. As College Republicans United has become more successful, we have seen an opportunity to continually increase our audience with every event.As CRU expands outside Arizona State University, our expenses are expected to increase. With your support we can a difference and keep Arizona red!"
22,"
$971 raised of $12,500                    ",https://www.gofundme.com/republican-st-ppatch-site-improvements,"Seattle, WA",Republican St. P-Patch Site Improvements,"Created May 22, 2019","The Republican Street P-Patch is raising money to make improvements to our community P-Patch. We plan to build a new fence, repair our shed and replace our dilapidated compost bins in order to be better neighbors, and to be better stewards of the soil.We need your help in order to fund the project.Note: Your donation is tax deductible!Republican Street P-Patch provides benefit to the communityThe Republican St. P-Patch is located at 503 20th Ave E in Seattle, WA and has been a part of the Miller Park neighborhood for 33 years. Our garden has 24 plots and over the years has housed 100’s of city gardeners. We also maintain one plot that is used exclusively for food bank donations. Many passersby and neighbors enjoy the garden space each day. Bees love our flowers. Children come to the garden to learn about plants and see nature in action. We chat with our neighbors who are curious about what we’re growing. Our lovely P-Patch is a place to make new friends and meet our neighbors. It is an invaluable place for the neighborhood and community.In 2018, P-Patch gardeners city wide donated 34,163 pounds (more than 17 tons) of fresh organic produce to more than 30 food banks, meal programs, and housing programs throughout Seattle. P-Patches truly benefit the community in many ways.So many bees!!And flowers!Site Improvements Needed!!We are raising funds to help us with the cost of site improvements and long term care for our garden. We will be replacing our aging fence with a beautiful new one, repairing our tool shed and building new composts bins. In doing so, we will create an even more vibrant space for our community and friends to enjoy.Our trusty old fence in need of replacement-it's served us wellThese compost bins have made some fabulous compost!Our shed is getting leaky and needs a roof replacementLots of rotting wood shakes to be replacedHow We Will Reach Our GoalWe are busily working away on a grant proposal through the City of Seattle’s Neighborhood Matching Fund. We are required to match at least half of the funding we receive through the grant program with a combination of volunteer time, donated professional services, donated materials and supplies and cash donations. We will employ the help and generosity of our fellow gardeners, neighbors and community at large to help us meet our goals.Work Party Spring 2018-Republican Street gardeners hard at workYour Donations Are Required to Help Us Meet That GoalOur fiscal sponsor for the grant process is GROW, a non-profit entity. They provide a legal mechanism for raising and managing our funds. Their nonprofit status will entitle you to a receipt for your taxes so you can write off any cash donation. Also, many companies including Microsoft, Google, Apple, Adobe, Boeing, Gates Foundation and Starbucks match employees cash donations and  volunteer hours donated to nonprofits. This will make your donation go even further! Check with your HR department as your employer may as well. Thanks so much! Any donation you make will help make an impact on our project!!Republican Street P-Patch Gardeners"
23,"
$1,440 raised of $3,000                    ",https://www.gofundme.com/college-republicans-at-ut-need-help,"Austin, TX",College Republicans at UT need help,"Created November 14, 2018","Help the College Republicans serve the UT Austin campus and keep Texas red for the decades to come!The next generation of Texan voters and leaders is walking around our campus right now, daily being fed a diet of leftist lies. If we want to keep Texas red, we need to make sure that conservatism also has a confident, powerful voice on this campus. The College Republicans at Texas have been that voice for over half a century, having been on campus since 1950 with such notable alumni as Governor Greg Abbott himself. Even though so much has changed in Austin and at UT, it is essential we stay prominent as a conservative voice on campus to do our part in keeping Texas a Republican stronghold.We at College Republicans at Texas have a vision to back the liberal tide on campus, one person at a time. Sadly, we do not currently have the funding necessary to execute on our plan. Funding helps us to attract new members, to bring in engaging speakers, and to advertise our organization across campus, removing the stigma that currently comes with being a Republican at UT."
24,"
$3,000 raised of $10,000                    ",https://www.gofundme.com/cypress-city-council-republican,"Cypress, CA",Cypress City Council,"Created August 22, 2018","Steven D. Bradley                                                              AGE: 63                                                                                                                                                      OCCUPATION: CPA/CFO RetiredI am a Republican.   I have been a resident of Cypress for 37 years.  I believe there are four major concerns in our City.   Traffic, due to the lack of foresight by the City Council.Over building of our city without concern to the residence’s desiresUnderfunding of the Cypress pension fund of around $30,000,000. Unmaintained properties creating eye-sores and safety concerns.  I have plans to fix all four without increasing taxes or cutting services.I am an active Certified Public Accountant with an MBA from Loyal Marymount.  As Chief Financial Officer of two privately owned $100 Million dollar companies, at the same time, for 13 years before my retirement, I know how to manage and make the right decisions for a successful outcome.   We were honored to receive the 2008 Cypress family of the year award.  We spent many years volunteering at our children’s schools receiving HSA awards.  I also volunteered as Coach of Cypress Little League, was on the executive board as President, and refereed for AYSO.    We need to change the liberal members of the City.  I need your help to make the city of Cypress whole again.Thank you for your time.Steve BradleyCandidate for Cypress City Council."
25,"
$340 raised of $4,000                    ",https://www.gofundme.com/dominic-republican-medical-assist,"Fuquay Varina, NC",Dominican Republic Medical Assist,"Created November 16, 2018","Dear friends, family, peers, and other great influencers of my life,    I would first like to thank you for taking your time to read my letter. As many of you know, I plan to continue my education after high school by pursuing the medical field. Specifically, I would like to become a Physician’s Assistant after I obtain my degree. Going in to the medical field is something I have wanted to do for a long time now and something I am extremely passionate about. Ever since I was younger I have dreamed about ways I could make the world a better place. I personally believe I was put on this Earth to do great things, and the thought of my future in the medical field satisfies these dreams. `    I am blessed and privileged to live in a country where public health is easily accessible and our medical resources are so advanced. Sadly, many other countries around the world do not have access to such health care. “About 80 percent of people in developing countries rely on local health care for health care. This is often in the form of ill-equipped clinics and local healers. There are no ambulances or 911 numbers. People often have to walk, sometimes for days, to get to a decent clinic or hospital. People with medical problems often can do nothing about them because they can't afford medicine or a visit to the doctor” (Hays). We live in a country where we do not have to worry about not having adequate health care available to us. Over the years, I have realized my privilege. We so easily take being able to go to urgent care for a cold, going to the dentist semi annually, and having access to medicine for granted. These “normal” things are luxuries to others; most of us just don’t see it that way. People in third world countries usually don’t practice rudimentary disease prevention measures such as keeping water covered, washing vegetables, brushing teeth, vaccinating children, taking the garbage away from the house and screening windows against flies and mosquitos. This is because sanitation is not enforced in the education of most third world countries. To me, this is a huge problem. Health care and basic sanitation should be a human right, not a luxury. So I would like to do what I can to change that: I want to make a difference.Next summer, through a program called Global Leadership Adventures, I have the opportunity to go to a third world country and study under a local health professional. Not only will I be learning from health professionals, but I will be contributing to the economy by participating in community service and teaching kids basic sanitation regulations. In this 14 day trip, I hope to not only work to make the community a better place but I also hope to gain insight on the value of life. I take too many things for granted in life and I believe this trip will help me truly realize how blessed am. The cost of this trip is $3,779, an amount I unfortunately cannot afford on my own. So I write this letter for if you would like to help me embark on this journey by donating money to help pay for the cost of the trip. A donation as small as $5 will make a difference and is extremely appreciated. Below I will put a link to the organization and their email, as well as mine, if you have any concerns and/or questions. Again, thank you so much for reading this letter and for helping contribute to my dream!Sincerely,Britani SmithTrip to Dominic RepublicanLink to trip info "
26,"
$865 raised of $2,500                    ",https://www.gofundme.com/uncw-college-republicans-cpac-2019-trip,"Oxon Hill, MD",UNCW College Republicans CPAC 2019,"Created November 27, 2018","Hello all! We are asking for donations to assist us with our annual trip to the Conservative Political Action Conference (CPAC) at the Gaylord National Convention Center in the National Harbor. CPAC 2019 is February 27 - March 2. CPAC is an opportunity for us to build connections with other conservatives across the nation and expand our political knowledge of the Republican Party through the hundreds of speakers that attend CPAC each year. All funds raised will go directly to assist with our expenses for CPAC 2019. These expenses include: lodging, transportation, ticket costs, etc. Thank you in advance! Any amount is greatly appreciated!"
27,"
$1,100 raised of $1,500                    ",https://www.gofundme.com/bulldog-republicans-go-to-cpac,"Duluth, MN",Bulldog Republicans go to CPAC!,"Created January 23, 2019","Dear Fellow Republicans,  The Bulldog Republicans at UMD have had an eventful semester, and we are winding down after elections. There is still plenty of work to be done for us to further spread the conservative voice on campus. We have increased membership, tabled on campus, participated in homecoming events, and helped with local, and statewide campaigns. We have knocked over 18,500 doors, and made 16,975  voter contacts via phone.   We are looking ahead to the Conservative Political Action Conference (CPAC) this February. Last year, students had the opportunity to listen to President Trump, Vice President Pence, many members of the Trump Administration, members of Congress, Governors, and many more famous conservative voices. CPAC is a great event for students to become educated about the current political environment and develop conservative values. Last year, twenty-two UMD students traveled to Washington D.C. for this important conference, and this year we have just as many signed up.  The UMD Bulldog Republicans are asking for your help to make this trip more affordable for our students. The cost of CPAC is the biggest barrier which prohibits students from attending. Everyone is on their own for transportation, flying or driving.  In total the hotel, travel, and CPAC tickets, expenses range between $600 to $700 dollars. Our club is doing everything in our power through multiple different fundraisers to cover the cost of CPAC tickets and reduce the price of hotel accommodations. Any donation would help lower the cost, and make this conference more affordable for UMD Bulldog Republicans. We are grateful for your continued support of the UMD College Republicans. We appreciate any help you can give. Thank you for your time and consideration.   Sincerely,   University of Minnesota Duluth Bulldog Republicans"
28,"
$125 raised of $5,000                    ",https://www.gofundme.com/college-republicans-ucsc-fund,"Santa Cruz, CA",UCSC College Republicans Fundraiser,"Created January 29, 2018",The UCSC College Republicans want to bring you amazing speakers and events to our campus.  We need money to make this happen. Thanks for your generous support!
