Unnamed: 0,link,location,summary,title,tag,raised,goal,created_date,goal_int,raised_int
27,https://www.gofundme.com/college-republicans-at-ucsc,"Santa Cruz, CA","The College Republicans at UC Santa Cruz are proud to announce they will be raising funds for the 2019 - 2020 school year. With past support our community has made it possible to bring names like David Horowitz, Cabot Phillips, and Christina Hoff Sommers to UCSC. Going forward we hope to bring no...",College Republicans at UCSC,rep,25,3000                    ," May 23, 2019",3000.0,25.0
28,https://www.gofundme.com/uncw-college-republicans-cpac-2019-trip,"Oxon Hill, MD",Hello all! We are asking for donations to assist us with our annual trip to the Conservative Political Action Conference (CPAC) at the Gaylord National Convention Center in the National Harbor. CPAC 2019 is February 27 - March 2. CPAC is an opportunity for us to build connections with other conse...,UNCW College Republicans CPAC 2019,rep,865,2500                    ," November 27, 2018",2500.0,865.0
29,https://www.gofundme.com/bulldog-republicans-go-to-cpac,"Duluth, MN","Dear Fellow Republicans,      The Bulldog Republicans at UMD have had an eventful semester, and we are winding down after elections. There is still plenty of work to be done for us to further spread the conservative voice on campus. We have increased membership, tabled on campus, participated in...",Bulldog Republicans go to CPAC!,rep,1100,1500                    ," January 23, 2019",1500.0,1100.0
30,https://www.gofundme.com/college-republicans-ucsc-fund,"Santa Cruz, CA",The UCSC College Republicans want to bring you amazing speakers and events to our campus.  We need money to make this happen. Thanks for your generous support!,UCSC College Republicans Fundraiser,rep,125,5000                    ," January 29, 2018",5000.0,125.0
31,https://www.gofundme.com/young-republican-katelyn-mcguyer-needs-support,"Visalia, CA","Our niece, Katelyn, has been selected as an intern for our local congressman this summer in Washington D. C. Katelyn has demonstrated determination and a positive attitude interning in Hanford for Congressman Valadao while attending COS and working for Visalia Emergency Aid. She attended UC Berke...",Katelyn McGuyer needs support,rep,889,4000                    ," April 1, 2019",4000.0,889.0
32,https://www.gofundme.com/political-action-college-republicans,"Hartford, CT","College Republicans at Trinity College is launching a capital campaign! The money raised will be used to host speakers and events on campus. Also, funds will be used to provide basic operations for the club like providing food at meetings, fares for ubers to do door knocking and costs for marketi...",Political Action! College Republicans,rep,505,5000                    ," April 16, 2019",5000.0,505.0
33,https://www.gofundme.com/supportcsufgop,"Fullerton, CA","The CSUF Republicans seek to support conservative students, empowering them to be active on campus and in the community.  We've faced attacks from liberal student groups and ANTIFA. One our students was physically assaulted by a professor on campus. We were even sued by California Democrats. We n...",Support the CSUF Republicans!,rep,25,1000                    ," January 29, 2019",1000.0,25.0
34,https://www.gofundme.com/2019-fundraiser-for-cru,"Chandler, AZ","Formed in January of 2018, College Republicans United has already grown to be the largest Conservative student organization at Arizona State University. We are upbringing a new generation of Millennial Republicans to revitalize the Conservative base, that has been neglected until the Trump Era. C...",2019 Fundraiser for CRU,rep,700,3200                    ," November 7, 2018",3200.0,700.0
36,https://www.gofundme.com/Behrend-College-Republican-Formal,"Erie, PA",My name is Avery Skiviat and I am part of the political science community at Penn State Behrend. Our organization wants to attend a trip to Florida from December 19-22nd. We are attending the Student Action Summit hosted by Turning Point USA. This event will have over 4000 college students intere...,Behrend College Republican Formal,rep,20,1000                    ," December 3, 2018",1000.0,20.0
37,https://www.gofundme.com/beach-cities-republicans,"Palos Verdes Peninsula, CA","We meet every Third Thursday at the Torrance Sizzler in Torrance on Sepulveda Blvd. Last month, we were noticed of new policy changes on reserving the room. We are now force to pay a non-refundae room deposit to book the Sizzler meeting room.   We have to have a min of 50 memberships a year to  b...",Beach Cities Republicans,rep,100,1800                    ," August 30, 2018",1800.0,100.0
38,https://www.gofundme.com/sst-to-the-dominican-republican,"Fort Wayne, IN","I’m raising money to be able to have a fun lifetime experience and opportunity to travel to the Dominican Republic ! In order to go, I have to pay for three specific shots, a passport, other things to travel. I'm asking for donation, prayers, and what ever else you may be able to offer.  I will b...",SST Trip To The Dominican Republican,rep,80,500                    ," March 13, 2019",500.0,80.0
39,https://www.gofundme.com/exploration-into-district-1-republican-congress,"Franklinton, NC","I would like to set this up to cover my exploration into running for Congress in district 1 in NC. I am a Republican and want to bring common sense back into Congress. It's an uphill battle, but I look forward to the challenge. I appreciate you even taking the time to read this, I know it's a lon...",Exploration into District 1 Republican Congress,rep,160,7500                    ," February 22, 2019",7500.0,160.0
40,https://www.gofundme.com/electing-republican-women-training,"Honolulu, HI","To ensure the full spectrum of Republican Women voices who want to lead and run for office: This train for Republican women will cover topics, including making the decision to run, finding your voice, and effective networking. Only those at the table can truly make change...Help us get to the tab...",Electing Republican Women Training,rep,150,1600                    ," February 21, 2019",1600.0,150.0
42,https://www.gofundme.com/7rv3k-help-me-go-to-washington-dc,"Coral Springs, Florida","I am the founder of a club at my school called Black Republican Leaders. Don’t let the name confuse you, everyone is allowed to attend the club but we chose the name because we’re a group of young black republicans trying to normalize our political views. Our group was created about a month ago a...",Republican Leaders Washington DC trip.,rep,50,1000                    ," June 15, 2019",1000.0,50.0
43,https://www.gofundme.com/patrick-henry-teen-republicans,"Roanoke, VA","Roanoke City Public Schools currently have 250 students identified as homeless. The teachers and students of Roanoke City Public Schools will come together on November 17, 2018 and compete in a city-wide dodgeball tournament. All of the proceeds will benefit the Help the Homeless Fund. Our Help t...",Patrick Henry: Teen republicans,rep,25,500                    ," November 1, 2018",500.0,25.0
44,https://www.gofundme.com/oregon-republicans-threatened-w-arrest,"Hillsboro, OR",Oregon Governor Kate Brown has ordered the state police to round up legislators.  Their by forcing a quorum at gunpoint  in an attempt to force a vote on an emergency cap and trade bill.   Legislators will be fined $500 per day while they are in hiding.   All donations will will be given to https...,Oregon Republicans threatened w/ arrest.,rep,20,500                    ," June 20, 2019",500.0,20.0
45,https://www.gofundme.com/dominican-republican-mission-trip,"Bay City, MI","My goal is to visit the Dominic Republic this summer to build housing and community space, work with families and improve lives.  I'll be using the funds to secure a flight, lodging and meals.   With your donation, I can make a difference in the lives of many people.  I'll be sharing photos and e...",Dominican Republican Mission Trip,rep,10,700                    ," March 14, 2019",700.0,10.0
46,https://www.gofundme.com/antirepublican-apparel,"Brooklyn, NY","I say we fight propaganda with propaganda and create an anti-republican clothing line. Think classy anti-trump  and Notorious RBG shirts, similar to those with the image of Biggie Smalls. The shirts out now that follow our mantra are not great quality, and are lacking  in style . The next time th...",anti-republican apparel,rep,5,350000                    ," December 24, 2018",350000.0,5.0
47,https://www.gofundme.com/citadel-republican-society-to-cpac,"Charleston, SC","The Citadel Republican Society is looking to raise money for our annual trip to the Conservative Political Action Conference in Washington, D.C. This trip allows us to represent The Citadel, Charleston, and the state of South Carolina as one of the single largest school delegations that attends e...",Citadel Republican Society to CPAC,rep,0,75000                    ," September 4, 2018",75000.0,0.0
50,https://www.gofundme.com/republican-challenger-to-president-trump,"Dover, NH","The Republican Party has not presented a nominee to challenge President Trump in the Republican Primaries. Until that happens, I am raising funds to start a presidential campaign. Am I qualified to be president? Not currently. Am I more qualified than President Trump to be president. Maybe, maybe...",Matthew Argall: A Presidential Bid,rep,0,250000                    ," April 8, 2019",250000.0,0.0
51,https://www.gofundme.com/help-move-2-republican-families-from-oregon,"Lebanon, OR",11 people of a Republican party want to leave the state of oregon. They all are for the wall and all are Republican people and are looking into relocating these families because of how different they are compared to their community's. Many people have told them to leave. Help fund them all on the...,Get 11 Republican people out of oregon,rep,0,29000                    ," February 16, 2019",29000.0,0.0
52,https://www.gofundme.com/help-umass-boston-college-republicans-attend-cpac,"Boston, MA",The College Republicans at the University of Massachusetts Boston (UMBCR ) have been working hard to bring a conservative voice to the UMB campus for over a year now. As we endeavor to continue our mission we are asking for your support. February 27th marks the beginning of the 2019 Conservative...,Help UMass Boston College Republicans attend CPAC!,rep,0,5000                    ," January 17, 2019",5000.0,0.0
53,https://www.gofundme.com/democrat-parents-disowns-republican,"Hillside, NJ",So basically i told my parents i am a republican and i support Donald Trump and this basically stopped paying my tuition and i have no were to stay im very hardworking and really want to finish college please help me out #MAGA  check my twitter for more information @Lovely_Flow201,Democrat Parents Disowns Republican,rep,0,20000                    ," November 6, 2018",20000.0,0.0
55,https://www.gofundme.com/inform-swing-state-republicans-about-border-crisis,"Harleysville, PA","Our Republican friends, neighbors, colleagues and family members aren't monsters who are glad that families are being separated at the border, and the inhumane treatment of detainees, especially children, in detention centers for immigrants. Instead, they deeply value their own families, and want...",Inform Swing State Republicans About Border Crisis,rep,0,999                    ," July 9, 2019",999.0,0.0
56,https://www.gofundme.com/young-black-republican-needs-money-for-college,"Trenton, NJ","Hello everybody! Recently, I decided to come out to my family and friends in support of President Donald Trump. The reactions I’ve received initially started as them ignoring me or chastising me for my beliefs, but now they’ve gone as far as to cut off funding for me this upcoming school year. I’...",Young Black Republican Needs Money For College!!!!,rep,0,10000                    ," July 6, 2019",10000.0,0.0
57,https://www.gofundme.com/1oqjn6to80,"Long Beach, CA","PRESIDENTIAL CANDIDATE'S CAMPAIGN PLATFORM): !!! : --->  To rekindle ""American Dream"", ---> To make American Citizens First Class Citizens in their own Land; ---> To deport (all) Domestic Terrorists, and Hardened Criminals from USA, ---> To restore Family Values, To call for Referandum !!!, whe...","""Black Ted Cruz"" Republican Presidential Candidate",rep,0,1.8M                    ," July 3, 2019",1800000.0,0.0
58,https://www.gofundme.com/make-me-vote-republican,"El Cajon, CA","For the next presidential election, I will vote REPUBLICAN. I’m so sick of both parties!!!",Make Me Vote Republican!!!,rep,0,2000                    ," June 30, 2019",2000.0,0.0
59,https://www.gofundme.com/young-republicans-rally-nyc-union-square,"New York, NY",I want to bring a real Youth Trump Rally to the liberal heart of NYC - Union Square.     Lets show that our voices will be heard in all of America!  Your donations will help Make America Great Again!!!,Young Republicans Rally NYC. Union Square,rep,0,1000                    ," June 30, 2019",1000.0,0.0
60,https://www.gofundme.com/republican-presidential-candidate,"Temecula, CA",To run as a Candidate for the President of the United States.  Beliefs are: - Smaller Govt. - Better Tax Program - Stronger USA - Less Off-Shoring of US Jobs     - This doesn't mean that we cannot help the undeveloped and      oppressed countries to improve their own regional economic prosperity...,USA Presidential Candidate,rep,0,5000                    ," June 28, 2019",5000.0,0.0
61,https://www.gofundme.com/1oi4td52o0,"Dallas, TX","My goal is to train our youth in the art of gun safety in case of burglary, national/civil conflict, or all-around general knowledge. I have found it necessary for the youth to learn gun safety and how to use firearms and semi-auto/automatic weapons. I want to be part of a more conservative Ameri...",Gun Training For Young Republicans,rep,0,10000                    ," June 27, 2019",10000.0,0.0
62,https://www.gofundme.com/5r3dut-abortion-needed,"Birmingham, AL","Hi, raising money To continue my education. I’m a college student putting myself through school. I’m currently an economics major and I am raising money to start up a young Republicans club at my school. We strongly need a place where people with the same values and ideas can come together. In th...",Young Republicans,rep,0,1200                    ," June 26, 2019",1200.0,0.0
63,https://www.gofundme.com/kwame-for-usa,"Long Beach, CA","(CAMPAIGN PLATFORM): To rekindle ""American Dream"", To make American Citizens First Class Citizens in their own Land; To deport (all) Domestic Terrorists, and Hardened Criminals from USA, To restore Family Values, To call for Referandum whether Majority of Americans want to (abolish) Same-Sex Marr...",Republican Presidential Candidate Fundraising,rep,0,1.8M                    ," June 26, 2019",1800000.0,0.0
64,https://www.gofundme.com/1ofksdcg2o,"Seattle, WA","Hello, My name is Naima Mohamed. I am a freshmen in college and I am having a hard time with finances even thought I have two part time jobs. It pains me to have to ask for help but I really do need it. If you have money please donate.",Mexican Republican,rep,0,1000                    ," June 25, 2019",1000.0,0.0
66,https://www.gofundme.com/republicans-legal-fee-fund,"Mannford, OK","The socialist prosecute and, question Republicans and, Republican supporters without regard for what legal fees it cost them having to hire a lawyer!  So this is to help with legal fees.",Republicans legal fee fund,rep,0,500000                    ," June 23, 2019",500000.0,0.0
68,https://www.gofundme.com/helpoutfellowrepublican,"Detroit, MI",I am a 20 year old female college student and proud republican! I was recently disowned by my family for my political beliefs and need some help getting back on my feet. If any of my fellow republicans can help me it would mean the most to me! Thank you and let's remember to #MakeAmericaGreatAgai...,HELP OUT FELLOW REPUBLICAN,rep,0,10000                    ," June 19, 2019",10000.0,0.0
69,https://www.gofundme.com/help-a-republican-get-into-college,"Queens Village, NY",I want to got to school to get an education,Help a republican get into college,rep,0,65000                    ," June 15, 2019",65000.0,0.0
71,https://www.gofundme.com/republican-awareness-for-our-youth,"Houston, TX","For over some time the African American community has been mislead by society into thinking the republic party is the reason for this countries downfall.... I’m Duprie Monroe and I’m here to change that, the youth of our community are the future and I want to teach our future the actual truth abo...",Republican awareness for our youth.,rep,0,75000                    ," June 13, 2019",75000.0,0.0
72,https://www.gofundme.com/take-back-the-house-for-republicans,"New Orleans, LA",Help Take back house for republicans,Take Back The House for Republicans,rep,0,250000                    ," June 13, 2019",250000.0,0.0
73,https://www.gofundme.com/nmn67u-republican-or-democrat,"Fort Payne, AL",not gonna give a sob story I just need money. want to buy a home for my family and maybe a nice family van. bills take it all but that's just life though.,family home and car,rep,0,150000                    ," June 11, 2019",150000.0,0.0
76,https://www.gofundme.com/valley-pride-dominican-republican-baseball,"Dinuba, CA",My son is name jose delacruz from a small town name Dinuba.   He has played in baseball since he was five years old. He played for the community as well as a travel team.  He not only gives 110%  in the field but aswell  in school. He made it to an international travel baseball team named Valley...,Valley Pride Jose Dominican Republican baseball,rep,0,3000                    ," May 26, 2019",3000.0,0.0
77,https://www.gofundme.com/RepublicansSavingAmerica,"Pittsburgh, PA","My name is William Perry, and I am a 35 year old African American. When I speak to alot of our African American people it seems that they are not truly aware of history or the issues in general from a facts based perspective. CNN and other Democrats spew out falsified and false facts and the youn...",Black Republicans for President Trump,rep,0,50000                    ," May 24, 2019",50000.0,0.0
78,https://www.gofundme.com/1n1t0uuftc,"Augusta, GA",Every $11 gets a My Way (plan B) into the hands of a Georgia women who has been effected by recent legislation. I will be giving these out outside of the “fake” clinics ran by conservative groups that parade as Planned Parenthood centers.,Emergency Contraceptive In Republicans Honor,rep,0,200                    ," May 16, 2019",200.0,0.0
80,https://www.gofundme.com/help-a-local-republican,"Corpus Christi, TX","I am an 18 year old, Mexican-American who support president Trump with all of my heart. I recently told my strong democratic family the news that I will be publicly supporting Trump and other Republicans. In response, they disowned me and kicked me out of the house. Since then I’ve been on my own...",Help a local republican,rep,0,5000                    ," May 13, 2019",5000.0,0.0
81,https://www.gofundme.com/VoteRepublican2020,"Valley Springs, CA","Are you fed up with Democrats controlling the House of Representatives? Do you want to see our country have more red states? Do you want to make America great again?!  If you answered YES, you are not alone.  My friends and I live in the gold country of California where luckily our small town and...",Vote Republican 2020!,rep,0,100000                    ," May 6, 2019",100000.0,0.0
82,https://www.gofundme.com/republicans-put-your-money-where-your-mouth-is,"Scarborough, ME",This is a political competition between Republicans and Democrats!  Two fundraising campaigns are currently active. The campaign that raises the most money will win the competition!  The money from the winning campaign will be donated to the Presidential nominee of the victorious campaign's polit...,Republicans - Put Your Money Where Your Mouth Is!,rep,0,1                    ," May 4, 2019",1.0,0.0
83,https://www.gofundme.com/hispanics-republicans,"Brooklyn, NY","Hey!!   My name is Taj, I am an legal hispanic republican New Yorker! I am currently trying to start a community center  for hispanic youths such as myself who are also republicans.   As a legal American I am always bullied by hypocritical democrats who believe that I MUST be a democrat because I...",Hispanics Republicans,rep,0,10000                    ," April 29, 2019",10000.0,0.0
84,https://www.gofundme.com/the-republican-party-of-australia,"Hunters Hill, NSW",The Republican Party of Australia is an Australian political party dedicated to ending the country's links with the UK and establishing a republic.,The Republican Party of Australia,rep,0,5000                    ," April 29, 2019",5000.0,0.0
85,https://www.gofundme.com/republican-collectible-trading-cards,"Silver Spring, MD","I have an idea for a trading card series of the crazy Democrats that are ruining our country. I have a quote to produce 10,000 trading cards for $14,000. Th see cards will be full color front and back featuring our Democrat leaders and (lack of) accomplishments listed on back much like the classi...",Republican collectible trading cards,rep,0,14000                    ," April 27, 2019",14000.0,0.0
86,https://www.gofundme.com/young-republicans-of-Washington,"Yakima, WA","Our mission is to raise money to get young Republicans in Washington State registered to vote in 2020. We will use funds raised for advertising on various media platforms and sources. With your help, we can turn Washington State Republican in 2020.",Young Republicans of Washington,rep,0,750000                    ," April 21, 2019",750000.0,0.0
87,https://www.gofundme.com/identity-verified-republican-informative-website,"Escondido, CA","Raising money for a discourse website that is troll free for Republicans to share and gain knowledge.  To be a member of the site you will need to prove your American identity.  Help coordinate grassroots efforts in your neighborhoods and share information, etc, the sky is the limit.  This tool w...",Identity verified Republican discourse website,rep,0,100000                    ," April 19, 2019",100000.0,0.0
88,https://www.gofundme.com/eqkyt-republican-or-democrat,"Grand Junction, CO",Whose better?,Marvel vs. DC,rep,0,50000                    ," April 16, 2019",50000.0,0.0
89,https://www.gofundme.com/african-american-republicans-of-illinois,"Chicago, IL","I would like to bring awareness and support to Republican African Americans in Illinois. Living in a blue state, and also being African American, my views and issues are swept to the side for bigger groups with bigger pockets. I plan to organize this group to be a major player in upcoming electio...",African American Republicans of Illinois,rep,0,10000                    ," April 16, 2019",10000.0,0.0
90,https://www.gofundme.com/illinois-republicans-seeking-asylum-down-south,"Kewanee, IL","Many Illinois Republicans are scrambling to get out of this State because the working class is facing poverty with the never-ending new taxes, but must find a place to go while job hunting. We are mostly working class or retired, yes I said ""We"". I need help so I can help all My Family & Friends....",Illinois Republicans seeking Asylum down South,rep,0,8000                    ," April 14, 2019",8000.0,0.0
92,https://www.gofundme.com/1lu8ntiaqo,"Washington, DC","My 2 Weeks Old Son Taylor Whitehead Needs A Heart Transplant & Has Tons Of Medical Bills . If You Could Really Find It In Your Hearts To Donate Any Little Thing It Would Be Gladly Much Appreciated ! I Dont Usually Reach Out To The Public , But I Have To Now Because I Need As Much Help As Possible...",Reform REPUBLICAN Newborn NeedS HELP,rep,0,10000                    ," April 14, 2019",10000.0,0.0
93,https://www.gofundme.com/i-was-ganged-up-by-2-racist-republicans,"Port Charlotte, FL","i was ganged up by 2 local thugs on my block who are trump supporters and are toxic and use the word 'salty', which i made a vow to never say! ""Sticks and stones may break my bones, but words will never hurt me.""",i was ganged up by 2 racist republicans :(,rep,0,2                    ," April 13, 2019",2.0,0.0
94,https://www.gofundme.com/young-republican-wants-to-help-fund-trumps-wall,"Brandenburg, KY",I am just a Republican boy. I would like to help fund Trumps wall because I feel like keeping illegal immigrants out is something that needs to be done.,Young Republican wants to help fund Trumps Wall.,rep,0,110                    ," April 9, 2019",110.0,0.0
95,https://www.gofundme.com/young-republican-in-need-of-help,"Philadelphia, PA","I am a young, Hispanic Trump supporter who wants to go to the greatest school of all time: Catholic University of America. I feel as though I will be able to thrive in my conservative views and feel comfortable because my people usually does not agree with my view points. If you all can just take...",Young Republican in Need of Help,rep,0,20000                    ," April 8, 2019",20000.0,0.0
96,https://www.gofundme.com/1lk0b58hc0,"Los Angeles, CA",Got Fired From Job For Wearing maga gear,Reformed Republican,rep,0,10000                    ," April 5, 2019",10000.0,0.0
97,https://www.gofundme.com/born-again-black-republican,"Grand Prairie, TX","I will not hide any longer. The left has made us feel as if us Black Republicans should hide. NOT ANY MORE!  I'm now getting kicked out of my home. My mother literally woke me up out of my sleep and scream at me ""How could you support this monnster, he's a racist and he hates fucking black people...",Born Again Black Republican,rep,0,25000                    ," April 5, 2019",25000.0,0.0
99,https://www.gofundme.com/reformed-republican,"Washington, DC",Lost Everything In A House Fire Can Yall Find It In Your Hearts To Please Help Me && My 4 Kids . It Would Be Gladly Appreciated,Reformed Republican,rep,0,10000                    ," April 4, 2019",10000.0,0.0
100,https://www.gofundme.com/real-republican-running-for-real-president,"Montegut, LA","As a real republican  #1. A lower deficit, lower national debt as not to kick the can down the road so that our great, great, great grandkids will have to find money to pay.   #2. I would strongly urge my fake republican brethen to do their real job as to not be in ""goose step"" with evil as in th...",Real republican running for real President,rep,0,10.0M                    ," March 15, 2019",10000000.0,0.0
