,funds,link,location,summary,title
14,"
$1,000 raised of $1,000                    ",https://www.gofundme.com/got-a-heart-for-emerge-alabama,"Birmingham, AL","Great news! Emerge Alabama is graduating 18 leading Democratic women in June, and you're going to want to know each one of them.  Join the ""Blue Heart"" of Alabama in throwing a Spring 2019 Graduation Party for Emerge Alabama. Here are the details:  We Love Emerge Alabama's Spring Class of 2019 Gr...",Got a Heart for Emerge Alabama?
15,"
$350 raised of $500                    ",https://www.gofundme.com/democratsagainstbullying,"York, SC",We have a local fellow Democrat who is in need. She has a child that was so severely bullied at school that she is home bound schooled right now. The child has Medicaid to cover her treatments because she had to have surgeries after her attack as well as seeing counselors. The mother has been in...,Help a fellow democrat and her children
16,"
$95 raised of $1,000                    ",https://www.gofundme.com/kootenai-candidate-video-fundraiser,"Coeur D Alene, ID",We need YOUR help to fund a video project to help Democrats win in November.   A  young team of progressive and Democrat volunteers is coming together to help elect candidates in Kootenai County.   We feel that in order to really get out the vote in November we need to break through the noise. We...,Kootenai Democrats Video Fundraiser
17,"
$175 raised of $500                    ",https://www.gofundme.com/college-democrats-fundraiser,"Boston, MA","Hi friends!  We, here at BU Dems are fundraising for our upcoming speaker panel, busing to upcoming canvassing opportunities, and trips to collaborate with other chapters! Our upcoming event description is below:  We hope you will consider donating. (:   Our panel, Onward Together: The Future of...",College Democrats Fundraiser
18,"
€1,600 raised of €4,000                    ",https://www.gofundme.com/limerick-social-democrats-local-election-2019, ,"On May 24th 2019, we have the opportunity to change the landscape of local politics in Limerick. The Social Democrats have selected four outstanding candidates to run for Limerick City & County Council. As a team, we are frustrated with the way your Council operates and promise to bring a refresh...",Limerick Social Democrats-  Local Election 2019
19,"
$1,623 raised of $3,000                    ",https://www.gofundme.com/fsw-college-democrats-convention,"Naples, FL","The College Democrats of America are hosting their annual conference in Washington D.C. This event will provide our College Democrats Club with training opportunities for members, and we'll meet with influential leaders in the Democratic Party. Four members of the College Democrats will be ar...",Collier College Democrats
20,"
€500 raised of €5,000                    ",https://www.gofundme.com/Charity-for-ER-Liberal-democr, ,"ጎስጓስ ንምእካብ ሓገዝ ""ንምምስራት ማዕከን ሓበሬታ ሓራ ባይቶ (ሊበራል ዴሞክራሲ) ኤርትራውያን""  ኣነ; ተስፋብርሃን ረድኢ ዝተበሃልኩ፣ ነዚ ገንዘባዊ ሓገዝ ክእክብ ዘንቀልክሉ እንኮ ዕላማ ንምምስራት ""ማእከል ማዕከን ሓበሬታ ኤርትራውያን ሊበራል ዴሞክራት"" ኮይኑ ቀንዲ ተልእኾኡ ድማ ንምዝርጋሕ ሊበራላዊ ዲሞክራስያዊ ፖለቲካዊ ስነ-ሓሳበይ ናብ ኩሎም ኤርትራውያንን ማሕበረ-ሰብ ዓለምን ኮይኑ፣ በዚ ማእከል ማዕከን ኣቢለ ድማ  ንኤርትራውያን ሓርነት ዝማእከሉ ዲሞክራስያዊ...",Charity for ERITR. Liberal Democrat
21,"
$1,000 raised of $3,000                    ",https://www.gofundme.com/oudems,"Athens, OH","In January, the Ohio University College Democrats will be taking their annual trip to Washington D.C.! This trip has been extremely educational and exciting for OUCD in the past and funds raised will help the organization to continue this tradition by offsetting the costs of housing and fuel. OUC...",Ohio U College Democrats DC Trip
22,"
$350 raised of $500                    ",https://www.gofundme.com/simsbury-youth-democrats,"Simsbury, CT","Simsbury Youth Democrats is a new organization created by 5 young political activists who aim to get more youth involved in local government and keep seats blue in Connecticut. We need funds in order to create business cards, maintain our website and hold events. Your donations would mean a lot t...",Simsbury Youth Democrats
23,"
$500 raised of $5,000                    ",https://www.gofundme.com/white-mountains-flip-arizona-2018,"Lakeside, AZ","The White Mountains are a crucial piece in the effort to flip Arizona.  We can do it with your help!  The White Mountain Democrats need funding to register voters, educate voters, and get out the vote.  We work throughout the White Mountains region including Show Low, the White Mountain Apache Re...",White Mountains Flip Arizona 2018
24,"
$730 raised of $1,000                    ",https://www.gofundme.com/DeepBlue42,"Palm Springs, CA",Deep Blue 42 is a group of grassroots Democrats running to be our assembly district's delegates for the California Democratic Party.  What's this election all about? Click Here for all the details and to RSVP  We need your help!  We are raising small-dollar donations so we can afford campaign mat...,Help Progressive Democrats win seats at the CDP!
25,"
$560 raised of $1,000                    ",https://www.gofundme.com/california-young-democrats-convention,"Corona, CA",Riverside County Young Democrats is raising money to send members of RCYD to the California Young Democrats Convention (CYD). The convention is May 31-June 2nd in San Francisco and we would love for Riverside County to be represented during this event! Help us in our efforts to enhance our politi...,California Young Democrats Convention
26,"
$540 raised of $2,000                    ",https://www.gofundme.com/liberal-democrats-2019-fadden,"Brisbane, AUS",Please help the Liberal Democrats run a candidate in your local electorate.  This funding drive is to run Jake WELCH as a House of Representatives candidate for the division of Fadden in the upcoming 2019 Australian Federal Election.  The major parties have been increasing the nomination fees to...,Liberal Democrats 2019 - Fadden
27,"
$1,623 raised of $1,600                    ",https://www.gofundme.com/NoJeffcoBlueWave,"Birmingham, AL","Help Us Bring the Blue Wave to North Jeffco!  Democrats all around Birmingham – including new and revived Democratic clubs in Shelby County, Hoover, Vestavia, Mt. Brook, Homewood, Southside, and downtown – are ready for the Blue Wave in the 2018 Mid-term Elections.  Now, we, Greater Birmingham De...",'Blue Wave' Candidates to N Jeffco
28,"
$585 raised of $1,000                    ",https://www.gofundme.com/help-a-high-school-democrat-make-change,"Claremont, NH","Hi, I'm Prescott Herzog, a Sophomore at Stevens High School in Claremont, New Hampshire, and I also serve the New Hampshire High School Democrats Vice Chair and the High School Democrats of America's Political Director! I am also the High School Representative for the New Hampshire Young Democrat...",Help a NH High School Democrat Represent HSDA!
29,"
$2,485 raised of $3,000                    ",https://www.gofundme.com/rgeqy4,"Bergenfield, NJ","Thanks for visiting!   Help us travel to different states to connect with more Young Democrats and win our elections in August.  Check out the team website: http://empoweryoungdemocrats.com/   A little bit about me:   Constantina is first generation Greek-American, and has had a chance to succeed...",Empower Young Democrats
30,"
$320 raised of $1,900                    ",https://www.gofundme.com/young-democrats-of-america-convention-fundraiser,"Pearland, TX",The Young Democrats of Brazoria County (YDoBC) have a goal to send one or two delegates to the Young Democrats of America convention in July 2019 in order to assure that our county is represented on a national level.    Focus Items: 1. Verify the national rules and resolutions support rural and g...,Help Send Delegates to YDA Indianapolis Convention
31,"
$260 raised of $500                    ",https://www.gofundme.com/cosby2019,"Adamsville, AL","I have asked for a lot over the years! With the S support of many of you, we have accomplished a lot! But i must come to you once more. I have decided to run for the position of Executive Vice President of The Alabama Young Democrats for 2019 & 2020. As a result of being born and raised in the He...",Cosby For Exec. VP of AL Young Democrats
32,"
$150 raised of $3,000                    ",https://www.gofundme.com/dogs-and-democrats,"Andalusia, AL",Fundraising for our Covington County Rally on October 12.  Money collected will help us sustain our local office and donate to statewide candidates.  We need your help to make big changes in our state. Vote Blue!,Dogs and Democrats
33,"
$205 raised of $10,000                    ",https://www.gofundme.com/help-progressive-democrats-win,"Lake George, MI","OUR STORY   THANK YOU TO ALL THOSE WHO HAVE ALREADY DONATED!  But the Mid-Term Election is getting close!  Our Local Progressive Democratic candidates need your help soon to make a difference!  A little bit can make a difference, so please consider making a modest donation today. The Share our st...",Help Progressive Democrats Win
34,"
$1,530 raised of $5,000                    ",https://www.gofundme.com/high-school-democrats-dc-trip,"Esparto, CA","Students of the Esparto High School are traveling on a fun and educational trip to Washington, DC, with Close Up Foundation, the nation’s leading non-profit, non-partisan civic education organization!  On Close Up, We will have the chance to make our voice heard! We will not only experience all o...",Esparto High Students D.C. Trip
35,"
$180 raised of $10,000                    ",https://www.gofundme.com/au7vj9-michigan-democrats-for-life,"Lansing, MI",Funds will be used to finance the activities of Democrats for Life of Michigan and promote the national 'Pro-Life for the Whole Life' conference in East Lansing,Michigan Democrats for Life
36,"
$5 raised of $5,000                    ",https://www.gofundme.com/injunction-to-make-democrats-follow-their-rules,"Vancouver, WA","Hello concerned citizens, We are a grassroots coalition of concerned citizens and we need your help.  We are worried that our Democratic Party Organizations have strayed too far away from following federal & state laws and organizational bylaws and rules.   For those that are not aware, we are se...",Injunction to make Democrats follow their rules
37,"
$180 raised of $1,500                    ",https://www.gofundme.com/young-democrats-of-new-mexico-tour,"Albuquerque, NM","We are raising money to visit seven counties across New Mexico to promote Democratic candidates in the area and upcoming legislative goals. We are asking for money to help with fuel, lodging and food. Thank you for your donation,  órale dems!",Young Democrats of New Mexico Tour
38,"
$100 raised of $1.0M                    ",https://www.gofundme.com/defending-maine-from-rich-democrats,"Liberty, ME","Maine is under attack by rich and powerful millionaires and billionaires. These elite are flooding our State with their money to control our futures, most don't live anywhere near Maine.   We can't sit back and let mega donors threaten our State.   Stand with us in donating anything you can affor...",Defending Maine from rich Democrats
39,"
$75 raised of $500                    ",https://www.gofundme.com/1npacrmjg0,"Statesboro, GA","Hi everyone! My name is Elisabeth Malloy. I have the honor to have been chosen as a delegate for the National Young Democrats Convention in Indianapolis and I need your help getting me there! All of the money this campaign raises will go towards travel expenses, hotel costs, and meals while I am...",Young Democrats National Convention Delegate
40,"
$20 raised of $2,000                    ",https://www.gofundme.com/liberal-democrats-2019-fairfax,"Brisbane, AUS",Please help the Liberal Democrats run a candidate in your local electorate.  This funding drive is to run Bertrand CADART as a House of Representatives candidate for the division of Fairfax in the upcoming 2019 Australian Federal Election.  The major parties have been increasing the nomination fe...,Liberal Democrats 2019 - Fairfax
41,"
€465 raised of €1,500                    ",https://www.gofundme.com/ciaran-mccarthy-sd-election-fund,"Cork City, Cork Ireland",On May 24th we go to the polls in the local elections and I'll be standing in the new ward of Cork City South West. As a first time candidate of a relatively new party I will be funding this campaign myself.  The support of my neighbours and friends will help me make a change in our community a l...,Ciaran McCarthy Social Democrats Election Fund
42,"
$465 raised of $500                    ",https://www.gofundme.com/expenses-for-young-democrats-of-america-convention,"Long Beach, CA","Hello and thank you for checking out my fundraiser. My name is Patrick Swymer and I have been selected as a delegate to represent the California Young Democrats at the Young Democrats of America National Convention in Indianapolis on July 17 - 20.   I am beyond humbled by this honor. However, del...",Expenses for Young Democrats of America Convention
43,"
$355 raised of $1,500                    ",https://www.gofundme.com/yale-democrats-2019-fundraiser,"New Haven, CT","Your donations help us fight for equal justice in New Haven,  in Connecticut, and across the country.  $15 can send a Dem to Hartford to testify on behalf of important legislation, $150 can sponsor a Dems speaker event with a prominent guest, and $500 can create a stipend for a student on financi...",Yale Democrats 2019 Fundraiser
44,"
€197 raised of €1,000                    ",https://www.gofundme.com/7mvkc-amy-mcgrath-social-democrats,Galway,"I am standing in the next local election in Navan because I want to represent and work for my  community. I want to bring the ideals of the Social Democrat party into our local government in a bid to work to improve access to housing, healthcare and transport for the more than 30,000 people who l...",Amy McGrath Social Democrats
45,"
$1,300 raised of $1,000                    ",https://www.gofundme.com/4ejtz-democrats-for-hurricane-relief, ,100% of the proceeds go directly to provide relief for the victims of hurricane Florence,Democrats for Hurricane Relief
46,"
$40 raised of $3,000                    ",https://www.gofundme.com/new-york-state-youth-delegate,"Freeport, NY",Thank you so much for helping make my dream of being a delegate for New York State Young Democrat’s a reality. The New York State Young Democrats are the official youth arm of the New York State Democratic Committee. The New York State Young Democrats represent young democrats between the ages of...,New York State Young Democrats Delegate
47,"
$50 raised of $1,000                    ",https://www.gofundme.com/a-democrat-for-amash,"Omaha, NE",Congressman Justin Amash stood up at a town hall tonight and defended his stance of impeachment in front his constituents in his home state of Michigan.  He received a standing ovation from the crowd for his courage for speaking up on the issue.   Due to his stance on this issue he lost his longt...,A Democrat for Amash
48,"
$50 raised of $500                    ",https://www.gofundme.com/carrollton-rotaryhurricane-relief,"Carrollton, KY",To help the survivors of Hurricane Michael with what they will need as they recover from this devastating storm.,Carrollton Rotary-Hurricane Relief
49,"
$20 raised of $50,000                    ",https://www.gofundme.com/the-american-people-vs-congressional-democrats,"Ashtabula, OH",We The People Of The United States are seeking an exceptional attorney that is strong enough to stand up for our rights and sue The Congressional Democratic Party.  These Democrats are hired and paid by The American People and have failed to perform their duties in a responsible manner. Justice n...,The American People vs Congressional Democrats
50,"
$5 raised of $250,000                    ",https://www.gofundme.com/help-keep-the-democrats-honest,"Niagara Falls, ON","Yahoo...Twitter...Google...Facebook - are NOT PRO Trump  Ever since that faithful day November 2016 that undoubtedly the best President ever was elected, the democratically controlled main-stream media platforms have had it in for President Trump. Even going as far as to indicted his former lawye...",Together We Can STOP The Democrat Lies.
51,"
$5 raised of $50,000                    ",https://www.gofundme.com/66y1qp4,"Longmont, CO","Due to idiots currently in and moving to our state, my family and I have had our feelings hurt. I know this doesn’t sound like much but, it’s seems to be a good excuse  for most Liberal and Democrats. I have created a fund to cover expenses that would help ease the  pain and suffering of having t...",I’ve been insulted by Democrats
52,"
$0 raised of $500,000                    ",https://www.gofundme.com/help-me-become-a-democratic,"Alexandria, AL","I am raising money to help me become a Democrate. If I can raise 500,000 dollars I will switch parties and vote a straight Democratic ticket. Help me please.",Help me become a Democrat
53,"
$0 raised of $1,700                    ",https://www.gofundme.com/young-democrats-of-america-convention,"Chattanooga, TN","I've been selected as a member of the Tennessee delegation for the Young Democrats of America National Convention to re-elect our officers.  Nancy Pelosi and Presidential candidate Pete Buttigieg will be giving separate addresses at the convention.   These funds are to cover registration, travel,...",Young Democrats of America Convention
54,"
$0 raised of $95,000                    ",https://www.gofundme.com/democrats-destroyed-black-america,"Glendale, CA","THE DEMOCRAT PARTY HAS DESTROYED BLACK AMERICA TOUR  -  Funding this tour will put the panel below and others on the road engaging audiences across America!  All Black Male panel at LA LIVE theater on July 30, 2018 after prescreening of Dinesh D'Souza's film Death of a Nation:",Democrats Destroyed Black America
55,"
$0 raised of $20,000                    ",https://www.gofundme.com/DemocratsRUS,"Myrtle Beach, SC","An agency consisting of DEMOCRATS ®US, DEMOCRATS®US HQ, UPstage Media Strategies, UPstage Artist Management, & ENCORE Talent Acquisitions which promotes Democratic Candidates through free promotional advertisments; acquires new promising talent, while also encouraging the power of the vote throug...",DEMOCRATS ®US
56,"
$0 raised of $2,000                    ",https://www.gofundme.com/liberal-democrats-2019-moncrieff,"Brisbane, AUS",Please help the Liberal Democrats run a candidate in your local electorate.  This funding drive is to run Sly GRYPHON as a House of Representatives candidate for the division of Moncrieff in the upcoming 2019 Australian Federal Election.  The major parties have been increasing the nomination fees...,Liberal Democrats 2019 - Moncrieff
57,"
$0 raised of $1.0M                    ",https://www.gofundme.com/sk4kz-teaching-democrats-to-stop-voting-democrat,"Airville, PA",This campaign is an effort to create a movement throughout America's cities that are strong democratic areas. We want to teach inner city residents to stop pushing the democrat button just because they are told to do so. The democratic party has become an institution of insanity that will destroy...,Teaching democrats to stop voting democrat !
58,"
$0 raised of $5,000                    ",https://www.gofundme.com/special-needs-helmets-for-the-democrats,"Coolidge, AZ",I'm concerned about the Democrats. The majority of them are one bump in the head away for complete disability. These helmets will protect their inability to make decisions that affect the American People. In the news today several of them show just how much these helmets are needed. It's sad that...,Nutcase Helmets For The Democrats
59,"
$0 raised of $20,000                    ",https://www.gofundme.com/democrat-parents-disowns-republican,"Hillside, NJ",So basically i told my parents i am a republican and i support Donald Trump and this basically stopped paying my tuition and i have no were to stay im very hardworking and really want to finish college please help me out #MAGA  check my twitter for more information @Lovely_Flow201,Democrat Parents Disowns Republican
60,"
$0 raised of $10,000                    ",https://www.gofundme.com/6adsmuo,"White Oak, TX",My name is Es .making disabled democrats feel proud. The right to be counted. .My goal is to make sure disadvantage democrats .Have. The Ride to vote!,Democrat The Ride To Vote
61,"
$0 raised of $100,000                    ",https://www.gofundme.com/expose-hypocritical-democrats,"Fremont, CA",To defeat Ro Khanna.,Expose Hypocritical Democrats
62,"
$0 raised of $3,000                    ",https://www.gofundme.com/i039m-a-naughty-democrat-send-me-to-canada,"Wittmann, AZ","Trump and his friends offered to pay for the left socialist democrats to go back to their countries.   All that is BS, but! I will for real move to Canada if enough funds are raised.","I'm a naughty Democrat, send me to Canada!"
63,"
$0 raised of $5,000                    ",https://www.gofundme.com/fight-for-progressive-democrats, ,"The Democratic Party is at a crossroads, Trump is threatening to win the White House for a second term and continue his reign of terror against all people of color and other marginalized groups. The only thing the Democrats can provide for a front runner is the Centrist Joe Biden and the rest of...",Fight for Progressive Democrats!
64,"
$0 raised of $7,000                    ",https://www.gofundme.com/3bujz-lost-job,"Hamden, CT",I was recently laid off from my position with a company that I had wanted to retire at. This happened after several complaints to HR over political comments were made about democrats & their love for Trump. The company has a strict no political policy but since I admitted I’m a democrat they’ve h...,Legal Fund -Democrat Harrassment!!
65,"
$0 raised of $10,000                    ",https://www.gofundme.com/democrats-30-day-vacation-to-dominican-republic,"Minden, NV",Since the democrats have done so much for us it's time to pay our respects and treat them to a 30 day vacation to the Dominican Republic for cocktails and beach time.,Democrats 30 Day Vacation to Dominican Republic
66,"
$0 raised of $1.0M                    ",https://www.gofundme.com/1o7sz58hqo,"Yorktown Heights, NY",We feel our Democrats in Congress need a vacation. We found the perfect resort in the Dominican Republic! 100% of the proceeds will go to the re-election campaign for President Trump  K.A.G. 2020,Send Democrat Congress To The Dominican Republic
67,"
$0 raised of $150,000                    ",https://www.gofundme.com/nmn67u-republican-or-democrat,"Fort Payne, AL",not gonna give a sob story I just need money. want to buy a home for my family and maybe a nice family van. bills take it all but that's just life though.,family home and car
68,"
$0 raised of $11,000                    ",https://www.gofundme.com/are-you-a-democrat-or-a-republican,"Philadelphia, PA",Republicans versus Democrats. We have -2-  families both families have volunteered there service for 20 years raising feeding caring taking care of  disabled kids both  families can use upgrade on their houses we went to give a mystery box. To the winner. if you like. you could represent. If you...,Are you a Democrat or a Republican
69,"
$0 raised of $50,000                    ",https://www.gofundme.com/pay-my-student-loan-ill-never-vote-democrat-again,"Montgomery, AL","I vote Democrat in almost ever election. Why? Because I have to vote my situation as most people try to do. I have three jobs and have for years. The Democratic Party claims they must do student loan forgiveness, so I continue to vote for them. That’s the reason. I’m doing this to see what happen...",Pay my student loan I’ll never vote Democrat again
70,"
$0 raised of $5,000                    ",https://www.gofundme.com/kqnmje-democrat,"Somerset, OH","my home burned,and a week later i also lost my car,nothing left means i will be losing my girlfriend who i love and i want to marry i will lose her next.how could such bad luck all be at the same time",democrat
71,"
$0 raised of $1                    ",https://www.gofundme.com/democrats-put-your-money-where-your-mouth-is,"Scarborough, ME",This is a political competition between Republicans and Democrats!  Two fundraising campaigns are currently active. The campaign that raises the most money will win the competition!  The money from the winning campaign will be donated to the Presidential nominee of the victorious campaign's polit...,Democrats - Put Your Money Where Your Mouth Is!
72,"
$0 raised of $2,500                    ",https://www.gofundme.com/inland-empire-young-democrats,"Fontana, CA","Hi, I'm Jeremy Paul Ortiz, a proud citizen.  I have never been more proud to be an American than I have been this year. Interning for a congressional representative has given me so much insight into the legislative process and what it means to represent the great people of this country. The feeli...",Inland Empire Young Democrats
73,"
$0 raised of $40                    ",https://www.gofundme.com/ktnkb9-democrat, ,"Hi! My name is Em and I need a donation of $40 before May 17, there's this really special activity and I need $40 to get the special thing, thank you to all who helps me!",Spring Fling
74,"
$0 raised of $100,000                    ",https://www.gofundme.com/democratsforsafeAmerica,"Brooklyn, NY","Supporters of Democrats, pro choice, LGBT, and Anti trump. Looking foward to show replicans that America is for all and even non trump supporters, muslims are warmly welcomed. If we need a great America Trump must be impeached. Support the movment.","Democrats with money, Trump impeachment"
75,"
$0 raised of $50,000                    ",https://www.gofundme.com/eqkyt-republican-or-democrat,"Grand Junction, CO",Whose better?,Marvel vs. DC
76,"
$0 raised of $100,000                    ",https://www.gofundme.com/confuse-republicans-and-democrats,"Paducah, KY",We have been told time and time again that the powers to be know how to appropriate your money far better than you. Utter nonsense. To prove a point that the general public can in fact pull together funds for whatever they may want or need far better than a some crusty people in a suit.,Confuse Republicans and Democrats
77,"
$0 raised of $1,000                    ",https://www.gofundme.com/send-college-democrats-at-uci-to-convention,"Irvine, CA","The College Democrats at UC Irvine want to send 12- 18 students to San Francisco this year. To bring as many students as possible while also keeping costs low for college students, we need your help!",Send College Democrats at UCI to Convention
78,"
$0 raised of $2,000                    ",https://www.gofundme.com/liberal-democrats-2019-rankin,"Brisbane, AUS",Please help the Liberal Democrats run a candidate in your local electorate.  This funding drive is to run Bede MUDGE as a House of Representatives candidate for the division of Rankin in the upcoming 2019 Australian Federal Election.  The major parties have been increasing the nomination fees to...,Liberal Democrats 2019 - Rankin
79,"
$0 raised of $2,000                    ",https://www.gofundme.com/liberal-democrats-2019-brisbane,"Brisbane, AUS",Please help the Liberal Democrats run a candidate in your local electorate.  This funding drive is to run a House of Representatives candidate for the division of Brisbane in the upcoming 2019 Australian Federal Election.  The major parties have been increasing the nomination fees to run candidat...,Liberal Democrats 2019 - Brisbane
80,"
$0 raised of $2,000                    ",https://www.gofundme.com/liberal-democrats-2019-mcpherson,"Brisbane, AUS",Please help the Liberal Democrats run a candidate in your local electorate.  This funding drive is to run Scott CROWE as a House of Representatives candidate for the division of McPherson in the upcoming 2019 Australian Federal Election.  The major parties have been increasing the nomination fees...,Liberal Democrats 2019 - McPherson
81,"
$0 raised of $2,000                    ",https://www.gofundme.com/liberal-democrats-2019-leichhardt,"Brisbane, AUS",Please help the Liberal Democrats run a candidate in your local electorate.  This funding drive is to run Sly GRYPHON as a House of Representatives candidate for the division of Leichhardt in the upcoming 2019 Australian Federal Election.  The major parties have been increasing the nomination fee...,Liberal Democrats 2019 - Leichhardt
82,"
CHF0 raised of CHF5,000                    ",https://www.gofundme.com/liberal-democrat,"Adliswil, ZH, Switzerland",Ab zehalfe semun kem zsmaenaio n kulu eritrawi aziu zehzene fesame agatimu. Eten n mesakin zehkema clinicat kesewa twesinu hemumat ka kabu wesiom. Kulatna eritrwayan ahwat n botana abta naytom hemumat ente netwas enaty mbelna. Behaki mara zehzn fesame etom catholicawyan ka b felay. Abzi hasir mal...,For our catholic fathers.
83,"
$0 raised of $5.0M                    ",https://www.gofundme.com/DemGone,"Adolphus, KY","So, heres the deal..you want trump to win in 2020? Well why not get rid of a bunch of people that would vote Democrat or anyone else other than tRUMP? Believe me we want to leave but the economy is so bad no one but the rich can afford to leave.. so You want us gone? Then help us go.. With the mo...",Democrat ready to leave
84,"
$0 raised of $20,000                    ",https://www.gofundme.com/abort-democrats,"La Plata, MD",I need funds to start a Political Action Committee to follow President Trump's leadership and FIGHT BACK against those that attack our 1rst Amendment Rights. Trump supporters can't even go into public spaces wearing a MAGA hat without fear of violence against them without ANY REPERCUSSION! NO MOR...,Abort Democrats
85,"
$0 raised of $5,000                    ",https://www.gofundme.com/700de1s,"Charleston, SC","Citadel College Democrats (CCD) The CCD is in its first year of existence but has made a huge impact in the community. We have logged close to 100 hours working on state and federal campaigns, volunteering in local party events, and advocating for legislation. Our members have met Senator Cory Bo...",The Citadel College Democrats (CCD)
86,"
$0 raised of $280,000                    ",https://www.gofundme.com/democrats-speak-out,"Fort Smith, AR","I would like to donate $1,000 to each Democrat Senator or Congress person who shouts 'You lie!' at 'so-called president' Trump each time he lies during the upcoming State of the Union address.   I know this act is disrespectful and not in keeping with the traditions of Congress, but I do not care...",Democrats Speak Out
